day,month,year,cases,deaths,country,countryCode,popData2018
30,5,2020,23,0,Albania,ALB,2866376.0
29,5,2020,26,0,Albania,ALB,2866376.0
28,5,2020,21,0,Albania,ALB,2866376.0
27,5,2020,25,1,Albania,ALB,2866376.0
26,5,2020,6,0,Albania,ALB,2866376.0
25,5,2020,9,1,Albania,ALB,2866376.0
24,5,2020,8,0,Albania,ALB,2866376.0
23,5,2020,12,0,Albania,ALB,2866376.0
22,5,2020,5,0,Albania,ALB,2866376.0
21,5,2020,15,0,Albania,ALB,2866376.0
20,5,2020,1,0,Albania,ALB,2866376.0
19,5,2020,2,0,Albania,ALB,2866376.0
18,5,2020,13,0,Albania,ALB,2866376.0
17,5,2020,17,0,Albania,ALB,2866376.0
16,5,2020,18,0,Albania,ALB,2866376.0
15,5,2020,18,0,Albania,ALB,2866376.0
14,5,2020,4,0,Albania,ALB,2866376.0
13,5,2020,4,0,Albania,ALB,2866376.0
12,5,2020,4,0,Albania,ALB,2866376.0
11,5,2020,12,0,Albania,ALB,2866376.0
10,5,2020,6,0,Albania,ALB,2866376.0
9,5,2020,8,0,Albania,ALB,2866376.0
8,5,2020,10,0,Albania,ALB,2866376.0
7,5,2020,12,0,Albania,ALB,2866376.0
6,5,2020,17,0,Albania,ALB,2866376.0
5,5,2020,8,0,Albania,ALB,2866376.0
4,5,2020,6,0,Albania,ALB,2866376.0
3,5,2020,7,0,Albania,ALB,2866376.0
2,5,2020,9,0,Albania,ALB,2866376.0
1,5,2020,7,0,Albania,ALB,2866376.0
30,4,2020,16,1,Albania,ALB,2866376.0
29,4,2020,14,2,Albania,ALB,2866376.0
28,4,2020,10,0,Albania,ALB,2866376.0
27,4,2020,14,1,Albania,ALB,2866376.0
26,4,2020,34,0,Albania,ALB,2866376.0
25,4,2020,15,0,Albania,ALB,2866376.0
24,4,2020,29,0,Albania,ALB,2866376.0
23,4,2020,25,1,Albania,ALB,2866376.0
22,4,2020,25,0,Albania,ALB,2866376.0
21,4,2020,22,0,Albania,ALB,2866376.0
20,4,2020,14,0,Albania,ALB,2866376.0
19,4,2020,9,0,Albania,ALB,2866376.0
18,4,2020,21,0,Albania,ALB,2866376.0
17,4,2020,24,1,Albania,ALB,2866376.0
16,4,2020,19,1,Albania,ALB,2866376.0
15,4,2020,8,1,Albania,ALB,2866376.0
14,4,2020,21,0,Albania,ALB,2866376.0
13,4,2020,13,0,Albania,ALB,2866376.0
12,4,2020,17,0,Albania,ALB,2866376.0
11,4,2020,7,0,Albania,ALB,2866376.0
10,4,2020,9,1,Albania,ALB,2866376.0
9,4,2020,17,0,Albania,ALB,2866376.0
8,4,2020,6,0,Albania,ALB,2866376.0
7,4,2020,16,1,Albania,ALB,2866376.0
6,4,2020,28,2,Albania,ALB,2866376.0
5,4,2020,29,2,Albania,ALB,2866376.0
4,4,2020,27,1,Albania,ALB,2866376.0
3,4,2020,18,1,Albania,ALB,2866376.0
2,4,2020,16,0,Albania,ALB,2866376.0
1,4,2020,20,3,Albania,ALB,2866376.0
31,3,2020,11,2,Albania,ALB,2866376.0
30,3,2020,15,0,Albania,ALB,2866376.0
29,3,2020,11,1,Albania,ALB,2866376.0
28,3,2020,12,3,Albania,ALB,2866376.0
