geoId,countryCode,country,popData2018,deaths,cases
AD,AND,Andorra,77006.0,51,764
AL,ALB,Albania,2866376.0,33,1099
AM,ARM,Armenia,2951776.0,120,8676
AT,AUT,Austria,8847037.0,668,16594
AZ,AZE,Azerbaijan,9942334.0,58,4989
BA,BIH,Bosnia_and_Herzegovina,3323929.0,153,2485
BE,BEL,Belgium,11422068.0,9443,58061
BG,BGR,Bulgaria,7024216.0,139,2499
BY,BLR,Belarus,9485386.0,224,40764
CH,CHE,Switzerland,8516543.0,1656,30745
CY,CYP,Cyprus,1189265.0,17,941
CZ,CZE,Czechia,10625695.0,319,9196
DE,DEU,Germany,82927922.0,8489,181196
DK,DNK,Denmark,5797446.0,568,11593
EE,EST,Estonia,1320884.0,67,1859
EL,GRC,Greece,10727668.0,175,2909
ES,ESP,Spain,46723749.0,27121,238564
FI,FIN,Finland,5518050.0,314,6776
FO,FRO,Faroe_Islands,48497.0,0,187
FR,FRA,France,66987244.0,28714,149668
GE,GEO,Georgia,3731000.0,12,746
GG,GGY,Guernsey,63026.0,13,252
GI,GIB,Gibraltar,33718.0,0,161
HR,HRV,Croatia,4089400.0,103,2245
HU,HUN,Hungary,9768785.0,517,3841
IE,IRL,Ireland,4853506.0,1645,24876
IM,IMN,Isle_of_Man,84077.0,24,336
IS,ISL,Iceland,353574.0,10,1805
IT,ITA,Italy,60431283.0,33229,232248
JE,JEY,Jersey,106800.0,29,308
LI,LIE,Liechtenstein,37910.0,1,83
LT,LTU,Lithuania,2789533.0,68,1662
LU,LUX,Luxembourg,607728.0,110,4012
LV,LVA,Latvia,1926542.0,24,1064
MC,MCO,Monaco,38682.0,5,98
MD,MDA,Moldova,3545883.0,288,7896
ME,MNE,Montenegro,622345.0,9,324
MK,MKD,North_Macedonia,2082958.0,126,2130
MT,MLT,Malta,483530.0,7,616
NL,NLD,Netherlands,17231017.0,5931,46126
NO,NOR,Norway,5314336.0,236,8411
PL,POL,Poland,37978548.0,1051,23155
PT,PRT,Portugal,10281762.0,1383,31946
RO,ROU,Romania,19473936.0,1240,18982
RS,SRB,Serbia,6982084.0,242,11354
RU,RUS,Russia,144478050.0,4374,387623
SE,SWE,Sweden,10183175.0,4350,36476
SI,SVN,Slovenia,2067372.0,108,1473
SK,SVK,Slovakia,5447011.0,28,1520
SM,SMR,San_Marino,33785.0,42,671
UA,UKR,Ukraine,44622516.0,696,23204
UK,GBR,United_Kingdom,66488991.0,38161,271222
VA,VAT,Holy_See,1000.0,0,12
XK,XKX,Kosovo,1845300.0,30,1048
