country,gdp,year,month,value,unit
Belgium,527.8,19,1,307.1,thousand tones
Bulgaria,55.08,19,1,3659.659,thousand tones
Denmark,347.2,19,1,336.444,thousand tones
Germany,3820.0,19,1,16522.459,thousand tones
Estonia,26.36,19,1,1931.714,thousand tones
Ireland,245.8,19,1,,thousand tones
Greece,246.4,19,1,3574.887,thousand tones
Spain,1400.0,19,1,1848.0,thousand tones
France,2902.0,19,1,983.614,thousand tones
Croatia,57.18,19,1,61.0,thousand tones
Italy,2129.0,19,1,1248.0,thousand tones
Cyprus,21.34,19,1,1.061,thousand tones
Latvia,32.82,19,1,6.892,thousand tones
Lithuania,48.72,19,1,31.321,thousand tones
Luxembourg,63.93,19,1,5.001,thousand tones
Hungary,129.7,19,1,795.168,thousand tones
Malta,10.57,19,1,,thousand tones
Netherlands,880.4,19,1,1395.0,thousand tones
Austria,436.1,19,1,370.777,thousand tones
Poland,552.2,19,1,12470.87,thousand tones
Portugal,228.2,19,1,405.705,thousand tones
Romania,199.0,19,1,2049.0,thousand tones
Slovenia,49.93,19,1,362.836,thousand tones
Slovakia,99.75,19,1,539.0,thousand tones
Finland,276.3,19,1,1232.0,thousand tones
Sweden,559.1,19,1,285.0,thousand tones
United Kingdom,2848.0,19,1,1493.739,thousand tones
Norway,511.6,19,1,67.172,thousand tones
Montenegro,4.66,19,1,146.02,thousand tones
Serbia,42.65,19,1,3384.557,thousand tones
Bosnia and Herzegovina,19.55,19,1,1253.327,thousand tones
Ukraine,134.9,19,1,4618.4,thousand tones
Moldova,7.74,19,1,15.1,thousand tones
Belgium,527.8,19,2,262.0,thousand tones
Bulgaria,55.08,19,2,2786.045,thousand tones
Denmark,347.2,19,2,261.22900000000004,thousand tones
Germany,3820.0,19,2,16125.421,thousand tones
Estonia,26.36,19,2,1526.832,thousand tones
Ireland,245.8,19,2,,thousand tones
Greece,246.4,19,2,2412.84,thousand tones
Spain,1400.0,19,2,1217.0,thousand tones
France,2902.0,19,2,882.2310000000001,thousand tones
Croatia,57.18,19,2,57.0,thousand tones
Italy,2129.0,19,2,947.0,thousand tones
Cyprus,21.34,19,2,2.229,thousand tones
Latvia,32.82,19,2,4.823,thousand tones
Lithuania,48.72,19,2,28.486,thousand tones
Luxembourg,63.93,19,2,15.817,thousand tones
Hungary,129.7,19,2,706.822,thousand tones
Malta,10.57,19,2,,thousand tones
Netherlands,880.4,19,2,1267.0,thousand tones
Austria,436.1,19,2,341.7530000000001,thousand tones
Poland,552.2,19,2,10429.252,thousand tones
Portugal,228.2,19,2,252.47,thousand tones
Romania,199.0,19,2,1865.0,thousand tones
Slovenia,49.93,19,2,295.858,thousand tones
Slovakia,99.75,19,2,479.0,thousand tones
Finland,276.3,19,2,981.0,thousand tones
Sweden,559.1,19,2,272.0,thousand tones
United Kingdom,2848.0,19,2,707.068,thousand tones
Norway,511.6,19,2,67.172,thousand tones
Montenegro,4.66,19,2,146.04,thousand tones
Serbia,42.65,19,2,3301.575,thousand tones
Bosnia and Herzegovina,19.55,19,2,1224.871,thousand tones
Ukraine,134.9,19,2,3596.2,thousand tones
Moldova,7.74,19,2,2.78,thousand tones
Belgium,527.8,19,3,308.5,thousand tones
Bulgaria,55.08,19,3,2151.791,thousand tones
Denmark,347.2,19,3,214.463,thousand tones
Germany,3820.0,19,3,14784.518999999998,thousand tones
Estonia,26.36,19,3,1499.15,thousand tones
Ireland,245.8,19,3,,thousand tones
