notation,prefLabel
EU28,European Union - 28 countries (2013-2020)
EU27,European Union - 27 countries (2007-2013)
EU25,European Union - 25 countries (2004-2006)
EU15,European Union - 15 countries (1995-2004)
EA15,"Euro area (BE, DE, IE, EL, ES, FR, IT, CY, LU, MT, NL, AT, PT, SI, FI)"
EA13,"Euro area (BE, DE, IE, EL, ES, FR, IT, LU, NL, AT, PT, SI, FI)"
EA12,"Euro area (BE, DE, IE, EL, ES, FR, IT, LU, NL, AT, PT, FI)"
BE,Belgium
BG,Bulgaria
DK,Denmark
DE,Germany
EE,Estonia
IE,Ireland
EL,Greece
ES,Spain
FR,France
IT,Italy
CY,Cyprus
LV,Latvia
LT,Lithuania
MT,Malta
NL,Netherlands
PL,Poland
PT,Portugal
RO,Romania
SI,Slovenia
FI,Finland
SE,Sweden
UK,United Kingdom
HR,Croatia
IS,Iceland
NO,Norway
TR,Turkey
EU27_NO,EU27 plus NO
EEA30,"European Economic Area (EEA) (EU-27 plus IS, LI, NO)"
EEA30_HR,EEA plus HR
DE01,Germany: North Sea
DE02,Germany: Baltic
DE03,Germany: Rhine
DE09,Germany: unspecified maritime coastal area
ES01,Spain: Atlantic  (North)
ES02,Spain: Mediterranean & Atlantic (South)
ES03,Spain: Ceuta
ES04,Spain: Melilla
ES09,Spain: unspecified maritime coastal area
FR01,France: Atlantic / North Sea
FR02,France: Mediterranean - including Monaco
FR03,France: French Guiana
FR04,France: Guadeloupe and Martinique
FR05,France: Reunion
FR09,France: unspecified maritime coastal area
SE01,Sweden: Baltic
SE02,Sweden: North Sea
SE09,Sweden: unspecified maritime coastal area
UK01,United Kingdom (Great Britain & Northern Ireland)
UK02,United Kingdom: Isle of Man
UK03,United Kingdom: Channel Islands
UK09,United Kingdom: unspecified maritime coastal area
TR01,Turkey: Black Sea
TR02,Turkey: Mediterranean
TR09,Turkey: unspecified maritime coastal area
BE00BEANR,Antwerpen
BE00BEBRU,Bruxelles (Brussel)
BE00BEGNE,Gent (Ghent)
BE00BELGG,Liège
BE00BENIE,Nieuwpoort
BE00BEOST,Oostende (Ostend)
BE00BEZEE,Zeebrugge
BE00BE001,Zeekanaal Brussel-Schelde ports
BE00BE002,Other Inland ports (other than Zeekanaal Brussel-Schelde ports)
BE00BE888,Belgium: other ports
BG00BGBOJ,Burgas
BG00BGVAR,Varna
BG00BG888,Bulgaria: other ports
DK00DKAAB,Aabenraa
DK00DKAAL,Aalborg
DK00DKROR,Aalborg Portland (Cementfabrikken Rordal)
DK00DKAAR,Aarhus
DK00DKARO,Aaro
DK00DKARD,Aarosund
DK00DKARK,Aeroskobing
DK00DKAGO,Agerso
DK00DKAGH,Agger Havn
DK00DKASH,Aggersund Havn
