"URI","Label","Definition","Notation","Status","AcceptedDate"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_cov/TOTAL","Total transport","","TOTAL","valid","2013-08-09"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_cov/NAT","National transport","","NAT","valid","2013-08-09"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_cov/INTL","International transport","","INTL","valid","2013-08-09"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_cov/INTL_LD","International transport - loaded","","INTL_LD","valid","2013-08-09"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_cov/INTL_NLD","International transport - unloaded","","INTL_NLD","valid","2013-08-09"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_cov/INTL_CTRD","International transport - cross-trade","","INTL_CTRD","valid","2013-08-09"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_cov/INTL_CAB","International transport - cabotage","","INTL_CAB","valid","2013-08-09"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_cov/INTL_IN","International transport - incoming","","INTL_IN","valid","2013-08-09"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_cov/INTL_OUT","International transport - outgoing","","INTL_OUT","valid","2013-08-09"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_cov/INTL_IEU","International transport Intra-EU","","INTL_IEU","valid","2013-08-09"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_cov/INTL_IEU27","International transport Intra-EU27 (2007-2013)","","INTL_IEU27","invalid","2013-08-09"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_cov/INTL_IEU25","International transport Intra-EU25 (2004-2006)","","INTL_IEU25","valid","2013-08-09"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_cov/INTL_IEU15","International transport Intra-EU15 (1995-2004)","","INTL_IEU15","valid","2013-08-09"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_cov/INTL_XEU","International transport Extra-EU","","INTL_XEU","valid","2013-08-09"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_cov/INTL_XEU27","International transport Extra-EU27 (2007-2013)","","INTL_XEU27","invalid","2013-08-09"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_cov/INTL_XEU25","International transport Extra-EU25 (2004-2006)","","INTL_XEU25","valid","2013-08-09"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_cov/INTL_XEU15","International transport Extra-EU15 (1995-2004)","","INTL_XEU15","valid","2013-08-09"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_cov/TRS","Transit","","TRS","valid","2013-08-09"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_cov/UNK","Unknown","","UNK","valid","2013-08-09"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_cov/INTL_IEU28","International transport Intra-EU28 (2013-2020)","","INTL_IEU28","valid","2013-10-19"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_cov/INTL_XEU28","International transport Extra-EU28 (2013-2020)","","INTL_XEU28","valid","2013-10-19"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_cov/NAT_OCC","National transport - occasional","","NAT_OCC","valid","2016-11-03"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_cov/NAT_REG","National transport - regular","","NAT_REG","valid","2016-11-03"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_cov/NAT_URB","National transport - urban","","NAT_URB","valid","2016-11-03"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_cov/NAT_IURB","National transport - interurban","","NAT_IURB","valid","2016-11-03"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_cov/INTL_OCC","International transport - occasional","","INTL_OCC","valid","2016-11-03"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_cov/INTL_REG","International transport - regular","","INTL_REG","valid","2016-11-03"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_cov/NAT_INTL_IEU28","National transport and international transport intra-EU28 (2013-2020)","","NAT_INTL_IEU28","valid","2018-10-02"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_cov/OVFL","Overflown","","OVFL","valid","2018-10-02"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_cov/NAT_INTL_IEU27_2019","National transport and international transport intra-EU27 (from 2020)","","NAT_INTL_IEU27_2019","invalid","2020-01-31"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_cov/INTL_IEU27_2019","International transport Intra-EU27 (from 2020)","","INTL_IEU27_2019","invalid","2020-01-31"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_cov/INTL_XEU27_2019","International transport Extra-EU27 (from 2020)","","INTL_XEU27_2019","invalid","2020-01-31"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_cov/NAT_INTL_IEU27_2020","National transport and international transport intra-EU27 (from 2020)","","NAT_INTL_IEU27_2020","valid","2020-02-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_cov/INTL_IEU27_2020","International transport Intra-EU27 (from 2020)","","INTL_IEU27_2020","valid","2020-02-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_cov/INTL_IEU27_2007","International transport Intra-EU27 (2007-2013)","","INTL_IEU27_2007","valid","2020-02-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_cov/INTL_XEU27_2020","International transport Extra-EU27 (from 2020)","","INTL_XEU27_2020","valid","2020-02-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_cov/INTL_XEU27_2007","International transport Extra-EU27 (2007-2013)","","INTL_XEU27_2007","valid","2020-02-25"
