station_european_code	station_local_code	country_iso_code	country_name	station_name	station_start_date	station_end_date	type_of_station	station_ozone_classification	station_type_of_area	station_subcat_rural_back	street_type	station_longitude_deg	station_latitude_deg	station_altitude	station_city	lau_level1_code	lau_level2_code	lau_level2_name	EMEP_station
RO0092A	RO-AB-1	RO	ROMANIA	AB-1	2009-01-01		Background	urban	urban		Unknown	23.563480	46.064220	246	ALBA IULIA				no
RO0093A	RO-AB-2	RO	ROMANIA	AB-2	2008-01-01		Industrial	urban	urban		Unknown	23.561399	45.966900	256	SEBES				no
RO0094A	RO-AB-3	RO	ROMANIA	AB-3	2008-01-01		Industrial	urban	urban		Unknown	23.225601	46.108292	450	ZLATNA				no
RO0098A	RO-AG-1	RO	ROMANIA	AG-1	2008-01-01		Traffic		urban		Unknown	24.855717	44.980606	100	PITESTI				no
RO0099A	RO-AG-2	RO	ROMANIA	AG-2	2008-01-01		Background	urban	urban		Unknown	24.871550	44.858180	100	PITESTI				no
RO0100A	RO-AG-3	RO	ROMANIA	AG-3	2008-01-01		Background	suburban	suburban		Unknown	25.050066	44.816643	100	RADU NEGRU				no
RO0101A	RO-AG-4	RO	ROMANIA	AG-4	2008-01-01		Background	suburban	suburban		Unknown	24.763680	44.980610	100	CALOTESTI				no
RO0102A	RO-AG-5	RO	ROMANIA	AG-5	2008-01-01		Industrial	suburban	suburban		Unknown	24.976284	44.758289	100	OARJA				no
RO0103A	RO-AG-6	RO	ROMANIA	AG-6	2010-01-01		Industrial		urban			25.080580	45.286190	580	CAMPULUNG				no
RO0058A	GR-GR1	RO	ROMANIA	APDF	2003-01-01	2008-12-31	Background	urban	urban			25.970000	43.895280	25	GIURGIU				no
RO0056A	CS-R1	RO	ROMANIA	APM	1998-01-01	2007-12-31	Background	urban	urban			21.381958	45.317778	235	RESITA				no
RO0091A	SV-SV1	RO	ROMANIA	APM Suceava	2006-01-01	2007-12-31	Background	urban	urban			26.235017	47.634444	353	SUCEAVA				no
RO0095A	RO-AR-1	RO	ROMANIA	AR-1	2009-01-01		Traffic	urban	urban		Wide street: L/H > 1.5	21.334721	46.181389	107	ARAD				no
RO0096A	RO-AR-2	RO	ROMANIA	AR-2	2009-01-01		Background	urban	urban		Unknown	21.302480	46.190550	107	ARAD				no
RO0097A	RO-AR-3	RO	ROMANIA	AR-3	2010-01-01		Traffic		suburban		Unknown	20.736850	46.166814	100	NADLAC				no
RO0011A	TM-TM1	RO	ROMANIA	B-dul M. Viteazul	1989-01-01	2007-12-31	Background	urban	urban			21.250000	45.766667	86	TIMISOARA				no
RO0065A	BUC-B1	RO	ROMANIA	B1 Lacul Morii	2004-01-01		Background	urban	urban			26.036830	44.447070	30	BUCHAREST				no
RO0066A	BUC-B2	RO	ROMANIA	B2 Titan	2004-01-01		Industrial	urban	urban			26.184734	44.411114	30	BUCHAREST				no
RO0067A	BUC-B3	RO	ROMANIA	B3 Mihai Bravu	2004-01-01		Traffic	urban	urban		Unknown	26.151121	44.440556	30	BUCHAREST				no
RO0068A	BUC-B4	RO	ROMANIA	B4 Berceni	2004-01-01		Industrial	urban	urban			26.148348	44.395836	30	BUCHAREST				no
RO0069A	BUC-B5	RO	ROMANIA	B5 Drumul Taberei	2004-01-01		Industrial	urban	urban			26.052244	44.411667	30	BUCHAREST				no
RO0070A	BUC-B6	RO	ROMANIA	B6 Cercul Militar	2004-01-01		Traffic	urban	urban		Unknown	26.120836	44.428890	30	BUCHAREST				no
RO0071A	BUC-B7	RO	ROMANIA	B7 Magurele	2004-01-01		Background	urban	suburban			26.033613	44.348888	30	BUCHAREST				no
RO0072A	BUC-B8	RO	ROMANIA	B8 Balotesti	2004-01-01		Background	rural background	rural			26.116667	44.616665	30	BUCHAREST				no
RO0104A	RO-BC-1	RO	ROMANIA	BC-1	2008-01-01		Background	urban	urban		Unknown	26.910670	46.564590	161	BACAU				no
RO0105A	RO-BC-2	RO	ROMANIA	BC-2	2008-01-01		Industrial	urban	urban		Unknown	26.927031	46.555931	160	BACAU				no
RO0106A	RO-BC-3	RO	ROMANIA	BC-3	2008-01-01		Industrial	urban	urban		Unknown	26.793091	46.256931	201	ONESTI				no
RO0107A	RO-BH-1	RO	ROMANIA	BH-1	2008-01-01		Background	urban	urban		Unknown	21.927240	47.068610	139	ORADEA				no
RO0108A	RO-BH-2	RO	ROMANIA	BH-2	2008-01-01		Industrial	urban	urban		Unknown	21.901402	47.097504	145	ORADEA				no
RO0109A	RO-BH-3	RO	ROMANIA	BH-3	2008-01-01		Traffic	urban	urban		Wide street: L/H > 1.5	21.950562	47.032501	128	ORADEA				no
RO0110A	RO-BH-4	RO	ROMANIA	BH-4	2010-01-01		Industrial		urban			22.331670	47.343610	213	TETCHEA				no
RO0111A	RO-BN-1	RO	ROMANIA	BN-1	2008-01-01		Background	urban	urban		Unknown	24.495430	47.127380	365	BISTRITA				no
RO0113A	RO-BR-1	RO	ROMANIA	BR-1	2008-01-01		Traffic		urban		Wide street: L/H > 1.5	27.971109	45.283855	28	BRAILA				no
RO0114A	RO-BR-2	RO	ROMANIA	BR-2	2008-01-01		Background	urban	urban		Unknown	27.969430	45.263160	28	BRAILA				no
RO0115A	RO-BR-3	RO	ROMANIA	BR-3	2008-01-01		Background	suburban	suburban		Unknown	27.889442	45.270855	28	SAT CAZASU				no
