indic_is,unit,hhtyp,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 
H_BBFIX,PC_HH,A1,AL	: 	33 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1,AT	61 	53 	57 	52 	48 	48 	42 	44 	42 	33 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1,BA	55 	40 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1,BE	68 	63 u	68 	64 	61 	65 	62 	54 	53 	47 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1,BG	32 	35 	38 	32 	29 	29 	29 	27 	17 	12 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1,CH	76 	: 	67 b	: 	: 	70 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1,CY	72 	71 	58 	50 	49 	48 	45 	36 	35 	22 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1,CZ	59 	55 	54 	53 	59 	58 	43 	45 	42 	30 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1,DE	80 	80 	78 	75 	72 	71 	69 	62 	61 	58 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1,DK	77 	71 	79 	75 	67 	69 	67 	69 	66 	66 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1,EA	67 	66 	64 	62 	59 	57 	55 	52 	48 	47 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1,EE	72 	67 	65 	62 	63 	57 b	49 	46 	43 	38 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1,EL	59 	56 	52 	46 	54 	53 	38 	33 	32 	31 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1,ES	62 	62 	57 	51 	49 	45 	41 	39 	35 	29 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1,EU15	: 	69 	67 	64 	60 	59 	59 	54 	51 	48 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1,EU25	: 	: 	: 	: 	: 	: 	: 	: 	: 	45 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1,EU27_2007	: 	65 	64 	61 	57 	55 	56 	51 	47 	44 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1,EU27_2020	65 	63 	62 	59 	56 	54 	52 	49 	45 	44 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1,EU28	67 	65 	64 	61 	57 	55 	56 	51 	47 	44 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1,FI	52 	53 	51 	54 	50 	50 	48 	47 	47 	47 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1,FR	60 	62 	58 	61 	54 	58 	59 	59 	48 	50 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1,HR	33 	37 	27 	31 	29 	26 	29 	26 	25 	18 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1,HU	66 	60 	61 	53 	46 	42 	40 	37 	30 	26 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1,IE	51 	51 	45 	46 	42 	37 	37 	35 	31 	25 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1,IS	81 	90 	90 	: 	: 	80 	82 	73 	74 	62 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1,IT	43 	42 	40 	37 	35 	34 	30 	25 	25 	25 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1,LT	50 	47 	47 	43 	40 	36 	32 	26 	26 	26 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1,LU	83 	80 b	90 	93 	88 	88 	63 	57 	62 	65 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1,LV	53 	46 	49 	45 b	43 	42 	40 	35 	27 	25 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1,ME	24 	20 	24 	: 	: 	: 	: 	18 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1,MK	24 	27 	21 	18 	17 	11 	18 	18 	: 	8 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1,MT	74 	61 	64 	59 	62 	51 	59 	51 	45 	37 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1,NL	97 	96 	95 	94 	91 	: u	: u	77 	71 	74 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1,NO	88 	86 	85 	92 	77 	71 	73 	67 	65 	72 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1,PL	40 	37 	37 	35 	34 	34 	34 	31 	27 	25 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1,PT	62 	64 	52 	47 	41 	32 	32 	29 	27 	24 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1,RO	45 	43 	46 	39 	39 	31 b	31 	27 	14 	9 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1,RS	48 	48 	29 	: 	23 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1,SE	79 b	67 	65 	63 b	60 	57 	53 	58 	60 	59 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1,SI	68 	61 	47 	51 	44 	43 	48 	36 	39 	26 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1,SK	39 	43 	42 	47 	44 	39 	36 	38 	25 	23 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1,TR	: 	: 	: 	: 	: 	: 	21 	23 	: 	18 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1,UK	85 	81 	75 	71 	68 	65 	83 	61 	57 	: u	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1,XK	67 	61 	72 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,AL	: 	24 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,AT	74 	65 	77 	70 	70 	66 	62 	65 	50 	49 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,BA	64 u	58 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,BE	84 	73 u	86 	80 	78 	84 	76 	74 	78 	69 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,BG	70 u	68 u	76 u	77 u	89 u	76 u	70 	76 	46 u	37 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,CH	84 u	: 	76 bu	: 	: 	78 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,CY	97 u	95 u	91 u	85 u	77 u	68 u	64 u	81 u	33 u	60 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,CZ	74 	75 	72 	72 	85 	81 	72 	62 	66 	51 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,DE	91 	91 	96 	94 	92 	91 	88 	87 	80 	77 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,DK	90 	85 	89 	90 	74 	79 	88 	83 u	83 	80 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,EA	78 	79 	80 	78 	78 	78 	78 	75 	67 	68 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,EE	87 	97 	84 	90 	88 	75 b	85 u	78 	70 u	79 u	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,EL	84 u	89 u	76 u	67 u	82 u	58 u	69 u	67 u	49 u	59 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,ES	79 	81 	81 	73 	71 	66 	60 	64 	63 	64 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,EU15	: 	83 	82 	79 	78 	77 	79 	73 	69 	64 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,EU25	: 	: 	: 	: 	: 	: 	: 	: 	: 	64 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,EU27_2007	: 	81 	81 	78 	78 	76 	78 	73 	67 	63 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,EU27_2020	79 	79 	79 	77 	77 	76 	77 	74 	66 	67 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,EU28	81 	81 	81 	78 	78 	76 	78 	73 	67 	63 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,FI	47 u	49 u	57 u	65 	59 u	74 u	46 u	67 u	67 	77 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,FR	71 	76 	76 	76 	76 	83 	87 	84 	72 	74 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,HR	: u	: u	: u	85 u	: u	71 u	80 u	73 u	79 u	69 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,HU	87 	72 	71 	69 	74 	66 	69 	72 	64 	54 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,IE	67 	80 	69 	63 	52 	54 	45 	41 	38 	33 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,IS	93 u	100 u	95 u	: 	: 	96 u	96 u	91 u	95 	86 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,IT	64 	58 	51 	52 	50 	49 	50 	38 	35 	47 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,LT	85 	80 	87 	83 	77 	76 	68 	67 	61 	67 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,LU	95 u	83 b	: u	89 u	100 u	93 u	73 u	72 u	79 u	92 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,LV	76 	78 	69 	72 b	68 	80 	82 	75 	70 	62 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,ME	: u	: u	: u	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,MK	: u	: u	: u	: u	: u	: u	: u	: u	: 	52 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,MT	: u	: u	: u	: u	: u	: u	: u	: u	68 u	: u	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,NL	97 	98 	100 	100 u	93 	: u	: u	93 u	82 u	81 u	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,NO	100 u	97 u	: u	100 u	93 u	95 u	79 u	82 u	75 u	71 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,PL	62 	57 	61 	70 	69 u	70 	68 	67 	63 	58 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,PT	89 	89 	93 	87 	81 	65 	69 	65 	57 	54 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,RO	75 u	70 u	81 u	54 	60 	74 bu	63 u	65 u	38 	28 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,RS	82 u	80 u	73 u	: 	79 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,SE	89 bu	84 u	: u	60 bu	89 u	65 u	: u	75 u	88 u	74 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,SI	: u	97 u	: u	: u	: u	: u	93 u	93 u	59 u	77 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,SK	72 u	74 u	68 u	80 u	84 u	79 u	69 	69 	40 	41 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,TR	: 	: 	: 	: 	: 	: 	40 	28 	: 	32 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,UK	94 	96 	89 	83 	78 	76 	82 	67 	71 	: u	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A1_DCH,XK	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,AL	: 	31 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,AT	71 	72 	70 	69 	64 	61 	55 	54 	53 	44 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,BA	57 	50 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,BE	82 	74 u	80 	82 	77 	80 	76 	72 	72 	66 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,BG	54 	51 	48 	47 	44 	39 	40 	37 	29 	18 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,CH	87 	: 	80 b	: 	: 	84 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,CY	80 	70 	63 	56 	54 	43 	41 	42 	24 	25 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,CZ	69 	67 	68 	60 	66 	67 	55 	55 	46 	38 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,DE	91 	89 	91 	89 	87 	84 	82 	80 	74 	72 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,DK	86 	86 	88 	86 	81 	83 	87 	83 	81 	79 	: 	: 	: 	: 	: 	: 	: 
H_BBFIX,PC_HH,A2,EA	76 	74 	73 	72 	69 	67 	65 	63 	58 	55 	: 	: 	: 	: 	: 	: 	: 
