Total,300252.213,259483.29,268767.97,241358.31,240009.4,231411.003,242408.532,231586.831,231265.896,251148.805,263543.848,272629.347,274946.571
Nuclear fuels and other fuels n.e.c.,76146.461,68956.133,70712.203,64905.026,62034.737,58140.134,61524.217,61227.535,60210.415,63670.607,63160.05,68881.382,72409.315
Combustible fuels,146802.629,117925.343,107785.733,101248.343,99830.909,96237.89,111373.623,104502.437,103331.722,117729.203,122669.296,110461.351,114167.714
Coal and manufactured gases,51255.189,41767.518,34842.19,33113.446,31364.208,27357.149,30579.233,28995.904,28165.746,34020.431,39501.064,34591.47,34615.642
Oil and petroleum products (excluding biofuel portion),3220.305,2690.024,2724.894,2640.688,2778.969,2936.172,3122.926,3182.613,2962.797,3030.748,2748.984,2881.941,2858.738
Natural gas,57501.439,45038.833,40197.746,38052.181,39690.095,39792.146,47536.283,43806.449,43845.623,50788.056,51091.058,43557.833,45099.482
Combustible fuels - renewable,11139.502,9870.237,10749.058,9428.355,9251.633,8729.733,9068.382,9286.408,8632.799,9564.627,11005.564,11696.255,10944.682
Combustible fuels - non-renewable,3373.296,3059.027,3260.947,3131.471,3086.924,2970.327,3076.596,3115.462,2917.755,3282.882,3094.629,3191.851,3025.778
Hydro,28073.809,26642.931,28650.586,27806.977,32048.671,32882.909,27684.686,24077.657,21577.602,23293.088,31877.439,37221.314,32386.514
Pure hydro power,24250.601,23400.266,25047.867,24333.498,28641.369,29003.778,24268.004,20626.17,18508.336,19967.201,27994.097,32519.556,28187.209
Mixed hydro power,2191.289,1848.895,1985.12,2120.931,2154.501,2588.593,2324.16,2213.503,1797.453,1788.196,2370.484,2699.281,2356.915
Pumped hydro power,1631.016,1392.17,1614.798,1349.948,1251.2,1289.84,1092.024,1237.683,1271.313,1535.889,1510.456,1999.88,1739.149
Wind,44022.789,37701.584,49660.259,32230.946,29705.769,25130.619,23650.741,24455.73,32362.435,36779.08,40596.247,50981.336,50099.291
Wind on shore,29345.933,25959.084,34975.211,21084.592,18885.469,15911.948,14602.572,15722.356,20931.804,24687.835,24331.165,34210.183,34649.726
Wind off shore,6268.971,5617.047,7232.012,4970.287,4445.448,4490.618,4327.698,5078.941,6316.27,7183.346,6563.554,8759.582,9007.851
Solar,4074.347,7231.526,10741.884,13857.506,15023.095,17711.371,16959.521,16204.161,12669.179,8551.697,4112.888,3990.425,4833.627
Solar photovoltaic,3917.042,6980.832,10280.148,13495.784,14303.266,16958.835,16259.694,15479.756,12231.686,8262.748,4053.633,3931.001,4758.021
Solar thermal,166.15,261.979,477.923,379.269,740.998,775.058,722.831,745.499,454.732,303.085,69.971,68.978,85.969
Geothermal,540.934,480.161,546.172,524.828,542.842,515.878,524.783,528.165,511.641,530.909,509.119,508.808,543.98
Other renewable energies,0,0,0,0,0,0,0,0,0,0,0,0,5.331
Other fuels n.e.c.,581.401,534.331,654.947,767.136,802.209,769.682,667.96,570.055,585.663,580.086,608.095,575.066,489.612
