Country,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan
European Union,55822.154,47971.946,44974.295,42561.335,39811.593,35960.221,39300.775,38385.693,39553.295,42492.161,43916.205,41578.327,41608.78
Euro area,30765.367,27041.76,24643.34,24162.379,21422.326,19003.291,20782.199,19898.202,20252.94,21639.512,24028.32,21560.762,22155.483
Belgium,307.1,262,308.5,289.8,307.1,284.8,305.5,303,298.1,304.9,294.1,283.9,316
Bulgaria,3659.659,2786.045,2151.791,1893.062,2383.267,1490.606,2000.476,2078.488,2499.393,2849.267,2436.261,2657.902,2422.37
Czechia,3905.907,3845.77,4079.931,3657.35,3262.562,2952.259,2922.779,3224.399,3304.415,3617.779,3733.538,3775.289,3766.488
Denmark,336.444,261.229,214.463,152.496,82.9,29.656,18.733,27.787,39.675,76.64,148.261,186.28,185.685
Germany,16522.459,16125.421,14784.519,14476.672,13781.01,11630.969,12648.144,12863.388,12535.235,13341.255,15115.941,12623.124,13935.939
Estonia,1931.714,1526.832,1499.15,1978.097,1016.396,776.92,771.531,760.421,1231.091,1057.133,1293.062,1135.061,1072.025
Ireland,,,,,,19.306,21.531,,,,,,
Greece,3574.887,2412.84,2465.287,2302.042,1808.859,2131.196,2121.157,2113.78,1428.239,1598.549,2044.595,2623.429,2727.138
Spain,1848,1217,610,552,442,409,693,484,452,587,449,310,552
France,983.614,882.231,856.732,842.175,779.455,762.123,881.319,889.495,754.194,827.203,925.052,887.446,888.776
Croatia,61,57,57,54,59,57,58,60,59,74,59,42,27
Italy,1248,947,870,880,742,764,861,580,920,944,910,762,
Cyprus,1.061,2.229,1.728,0,2.339,3.455,4.898,4.443,2.033,0.602,3.181,1.716,0.285
Latvia,6.892,4.823,4.903,6.09,7.128,2.341,5.536,6.789,6.46,8.022,8.452,6.185,3.433
Lithuania,31.321,28.486,24.881,19.082,27.276,22.05,11.069,22.863,35.421,29.959,23.375,20.737,24.443
Luxembourg,5.001,15.817,5.788,5.461,5.742,13.248,7.141,7.715,5.336,3.299,5.408,4.146,4.956
Hungary,795.168,706.822,811.482,586.134,467.543,569.11,792.424,664.128,756.58,757.653,673.734,647.548,663.726
Malta,,,,,,,,,,,,,
Netherlands,1395,1267,964,854,783,654.181,722.395,517.5,1085.2,858.659,1030.217,958.513,616.392
Austria,370.777,341.753,321.477,383.414,322.113,263.125,305.978,337.364,269.536,314.649,299.249,254.699,303.121
Poland,12470.87,10429.252,10090.5,9301.062,9719.84,9526.018,10089.647,9904.243,10142.493,10663.021,9930.918,9795.658,9253.246
Portugal,405.705,252.47,241.996,220.784,144.982,225.67,314.795,45.912,21.848,124.31,59.943,47.764,52.017
Romania,2049,1865,2025,1984,1779,1676,1949,1843,1768,1933,1754,1799,1751
Slovenia,362.836,295.858,241.379,205.762,237.926,241.907,346.205,246.532,236.247,406.972,279.314,332.042,259.958
Slovakia,539,479,523,488,469,409,443,334,348,420,380,429,427
Finland,1232,981,920,659,546,390,318,381,624,813,881,881,972
Sweden,285,272,286,188,193,207,176,174,168,253,258,261,287
United Kingdom,1493.739,707.068,614.788,582.852,442.155,449.281,511.517,511.446,562.799,628.289,894.173,852.888,1096.782
Norway,67.172,67.172,67.172,67.172,67.172,67.172,67.172,67.172,67.172,67.171,67.172,67.172,
Montenegro,146.02,146.04,129.19,29.42,44.43,96.43,147.57,161.95,172.25,167.17,122.39,132.867,
North Macedonia ,610.92,536.355,585.586,466.6,463.535,408.682,434.943,522.259,433.016,430.403,516.298,593.839,616.529
Serbia,3384.557,3301.575,3646.015,3324.678,2542.615,2718.319,3002.442,3527.584,3355.208,3578.068,3393.1,3553.535,3519.773
Bosnia and Herzegovina,1253.327,1224.871,1316.397,945.039,1083.484,1047.931,1338.959,1226.64,1273.541,1125.586,1389.698,1274.781,
Ukraine,4618.4,3596.2,4007.6,3817,3675.9,4202.1,3586.8,3670.2,3513.4,4015.9,3109.8,3457.4,
Moldova,15.1,2.78,3.07,16.85,1.73,7.851,12.953,6.7,20.4,23.7,11,16,6.8
