Country,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20
European Union,300252.213,259483.29,268767.97,241358.31,240009.4,231411.003,242408.532,231586.831,231265.896,251148.805,263543.848,272629.347,274946.571
Euro area,213102.821,184827.318,191574.112,171271.091,171586.888,165984.732,176513.167,167232.85,166007.713,176927.249,186611.616,191951.478,190787.476
Belgium,7374.325,6424.771,7134.404,6764.483,6681.769,6386.188,7029.44,7840.02,7962.518,7693.224,7729.24,7822.894,7715.042
Bulgaria,4228,3783,3623,3312,2744,2815,3255,3338,2991,3053,3443,3711,3593
Czechia,8000.632,7237.196,7003.579,6421.724,6686.309,5725.117,5318.748,6056.371,6524.015,7484.428,7321.741,7353.704,7529.983
Denmark,3452.783,2802.395,3245.666,2099.411,2290.995,1452.497,1624.629,1446.866,2035.934,2217.429,2523.456,3258.943,3525.143
Germany,53992.955,47609.758,50476.809,44398.747,42048.426,38686.913,41374.756,39820.136,41090.173,46770.959,47122.985,46841.517,49394.902
Estonia,1045,691,677,598.8,490.879,312.366,306.4,402,467.5,429.358,563.4,454,414.267
Ireland,2604.425,2403.525,2471.024,2404.442,2345.015,2278.174,2144.354,2169.343,2183.806,2444.701,2718.69,2679.256,2690.142
Greece,5279.582,3912.081,3586.778,3341.144,3277.474,4100.861,4616.283,4912.981,3973.396,3690.766,3311.091,3790.69,4496.34
Spain,24569.178,20564.785,20870.737,19802.021,20591.89,21190.145,23635.009,22456.021,21372.516,21031.028,22616.251,22320.241,22727.163
France,56569.387,50885.874,51182.635,43016.277,43951.229,40505.66,40806.332,37931.529,38044.707,41589.722,46637.413,51887.146,55377.297
Croatia,1200.594,1093.142,844.015,836.34,1066.014,901.879,822.734,852.188,742.062,928.886,1483.63,1498.36,1162.035
Italy,26029,21952,22866,21741,22318,24542,27814,24344,23954,22919,22887,22480,24315
Cyprus,442.695,363.488,352.777,314.17,361.543,439.07,534.95,538.291,459.01,380.076,325.563,371.284,424.945
Latvia,599,471,686,499,421,407,357,525,553,514,586,560,629
Lithuania,310.904,338.352,356.59,287.344,273.278,278.807,290.612,260.1,327.8,321.7,283.113,350.708,385.523
Luxembourg,186.399,159.873,199.934,130.499,127.139,127.077,119.827,125.017,121.973,163.969,174.539,196.156,183.556
Hungary,3182.533,2285.135,2401.074,2503.952,2261.409,2399.541,2863.443,2649.736,2599.982,3108.019,2802.695,2863.369,3030.972
Malta,177.593,138.515,140.25,144.109,163.286,187.154,195.848,213.884,168.666,163.857,135.767,164.619,217.644
Netherlands,11662.67,10188.376,10630.14,8643.905,9346.703,7964.809,8993.784,8825.334,8924.673,10753.713,10762.508,10419.494,
Austria,6653.671,5496.646,6053.56,6275.728,6260.935,6573.525,5829.36,5541.063,5261.288,5377.409,5989.263,5699.986,5785.815
Poland,14539.677,12337.499,12855.136,11830.078,12023.635,11662.228,11913.081,11947.111,11652.706,12544.166,12286.393,13106.363,13438.549
Portugal,5057,3727,3764,4092,4057.928,3901.036,4421.429,3789.269,3871.832,4186.867,5187.589,5784.008,5825.361
Romania,4995,4699,4808,4462,4665,4789,4402,4057,3702,4079,4478,4738,4889
Slovenia,1194.037,1208.274,1162.474,1210.422,1396.394,1423.947,1345.783,1146.862,1024.855,819.9,1530.204,1472.479,1222.935
Slovakia,2386,2174,2480,2007,2292,2006,2030,2134,1885,2136,2233,2277,2396
Finland,6969,6118,6483,5600,5182,4674,4668,4258,4361,5541,5818,6380,6586.544
Sweden,16378.501,14741.659,15659.019,13323.14,12752.704,12834.187,11923.827,10806.646,11356.481,13923.566,14855.982,15914.402,16688.692
United Kingdom,31171.672,25676.946,26754.369,25298.574,23932.446,22846.822,23771.903,23200.063,23654.003,26883.062,27737.335,28233.728,30301.721
Iceland,,,,,,,,,,,,,
Norway,14706.643,11745.182,11304.994,9995.47,9810.046,9469.545,9790.416,10101.799,10949.275,11525.717,12867.058,12368.488,13336.426
Montenegro,334,341,,,,,,,,,,,
North Macedonia ,642.749,496.201,436.952,379.239,382.294,435.838,499.527,531.761,463.812,360.32,383.985,492.985,555.507
Albania,419.847,525.664,342.72,320.069,520.692,443.934,457.805,477.79,258.513,263.104,433.041,773.454,537.469
Serbia,3235.857,3155.925,3834.576,2888.114,2804.494,2664.969,2512.631,2573.287,2337.593,2615.596,2958.391,3377.508,3360.434
Turkey,24687.436,23186.422,23563.662,22710.045,23892.818,23190.481,27334.784,26295.555,24029.956,22763.409,22556.841,24690.996,25364.839
Bosnia and Herzegovina,1381.712,1356.438,1349.648,1042.98,1220.749,1262.396,1344.049,1374.492,1169.254,1121.055,1482.494,1738.129,
Ukraine,15710.7,13752.1,13977.5,12161,11765.6,11401.1,11256.5,11294.7,10912.2,12144.7,12870.5,14076.5,13872.2
