Country,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20
European Union,50187.171,43805.018,47790.975,46571.24,46646.166,45510.769,50782.238,51111.33,46508.172,48210.534,45929.5,48195.518,40695.761
Euro area,38192.171,32931.018,36702.975,35427.24,35300.166,33805.769,38225.238,38516.33,35577.172,36378.534,34124.5,35945.518,28399.805
Belgium,3118,2828,3007,2947,2871,2836,2890,2968,2719,2801,2803,2737,2891.2
Bulgaria,577,527,347,565,625,598,617,613,574,646,585,557,569.434
Czechia,600,587,660,554,689,637,724,715,694,681,682,624,650
Denmark,683,622,669,651,664,601,656,628,498,668,639,665,704
Germany,7535.171,6502.018,7179.975,6870.24,6848.166,7007.769,7803.238,7505.33,7201.172,7653.534,7292.838,7613.188,7685.233
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,
Ireland,244,203,230,203,48,74,230,257,270,258,248,265,260.612
Greece,2016,1806,2050,1876,1950,1916,2116,2089,1985,1751,1586,1885,
Spain,5898,4961,5805,5681,5480,4992,5517,6000,5279,5734,4802,5499,5354
France,4784,4387,4314,4185,4101,3612,4490,4714,3932,3444,3258,3468,3111
Croatia,13,60,92,19,81,327,387,388,269,349,327,279,18.9
Italy,5395,4567,5234,5289,5608,5586,6134,6353,6053,5672,5517,5457,5501.943
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,871,605,746,719,839,852,880,881,835,812,800,674,600.3
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,625,536,616,627,589,607,549,528,326,589,612,603,543
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,5032,4259,4910,4452,4396,3921,4866,4896,4799,5025,4478,4874,
Austria,803,711,779,757,778,748,765,802,692,813,712.662,819.33,778.09
Poland,2267,2154,2345,2273,2204,2271,2397,2361,2253,2252,2273,2136,2278.919
Portugal,940,780,919,993,1122,1042,1170,545,386,923,1177,1183,1173.427
Romania,1041,940,869,958,1070,1033,1037,1043,1038,1086,987,1045,1030
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia,530,479,509,460,189,241,332,433,513,438,495,490,
Finland,1026,843,1020,995,1070,978,1032,1073,913,1054,955,981,1044
Sweden,1535,1403,1300,1197,1200,1736,1811,1751,1120,945,1214,1555,1650.703
United Kingdom,4654,4045,4190,4300,4224,3895,4379,4568,4159,4616,4486,4786,4851
Norway,1241,1175,1232,1229,1247,1277,1339,1211,1045,1028,1252,1248,708.432
Montenegro,,,,,,,,,,,,,
North Macedonia,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,21,32,38,37,14,50,41,40,5,5,4,4,
Turkey,2189,2456,2744,2820,2823,2488,3023,3168,3078,3087,3023,2716,2808.417
