Coal type,Type,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan
Hard Coal,Indigenous production,5716.36,5326.44,6095.57,5776.587,5777.608,5205.662,5808.765,5618.253,5619.909,5977.462,5686.95,5460.344,5686.405
Hard Coal,Recovered and recycled products,86.595,88.267,87.37,53.075,78.781,87.687,84.012,80.082,58.746,55.769,44.646,42.389,51.688
Hard Coal,Imports,14811.543,12719.049,12466.863,10973.69,9769.335,9791.18,9433.32,9723.419,9318.425,9928.965,10003.533,9659.904,8769.742
Hard Coal,Exports,666.5,705.62,712.596,647.815,784.129,847.471,738.746,719.193,719.029,682.484,763.834,792.656,760.308
Hard Coal,Change in stock,1399.672,333.26,-1230.474,-1421.002,-1427.221,-1088.622,-356.748,-1427.743,336.196,164.728,232.417,400.477,600.722
Brown Coal,Indigenous production,29506.679,28922.459,27233.639,24973.333,26260.212,22142.403,23768.592,24148.143,24054.992,25562.843,26428.796,24310.68,25111.009
Brown Coal,Recovered and recycled products,0,0,0,0,0,0,0,0,0,0,0,0,0
Brown Coal,Imports,263.923,112.903,122.266,102.783,205.952,75.801,70.425,75.491,90.739,126.282,199.927,106.581,116.853
Brown Coal,Exports,81.218,83.992,82.102,57.046,62,52.044,46.383,77.217,90.363,123.255,99.942,68.27,58.391
Brown Coal,Change in stock,2078.345,-873.3,-1073.818,452.176,-1253.847,-260.289,407.171,38.895,-659.343,-80.475,274.673,699.977,370.011
Peat,Indigenous production,55.067,48.741,52.265,12.05,91.569,1115.419,1478.578,1350.051,139.859,61.228,59.092,59.122,68.092
Peat,Recovered and recycled products,0,0,0,0,0,0,0,0,0,0,0,0,0
Peat,Imports,20,28,26,8,7,5,3,3,4,6,7,7,6
Peat,Exports,6.2,5.204,4.226,5.263,3.243,1.061,1.119,2.075,1.133,5.194,3.251,3.113,6.09
Peat,Change in stock,793.049,623.071,581.848,407.75,210.013,-906.593,-1300.392,-1110.655,232.271,503.123,596.46,598.848,651.543
Oil shale and oil sands,Indigenous production,1996,1821.4,1673,1476.333,1476.259,1009.625,743.399,972.343,1232.3,1187.1,1126.093,1022.423,1194.473
Oil shale and oil sands,Recovered and recycled products,0,0,0,0,0,0,0,0,0,0,0,0,0
Oil shale and oil sands,Imports,0,0,0,0,0,0,0,0,0,0,0,0,0
Oil shale and oil sands,Exports,0,0,0,0,0,0,0,0,0,0,0,0,0
Oil shale and oil sands,Change in stock,-64.563,-295.263,-173.938,509.76,-455.915,-228.789,30.913,-207.019,-5.529,-134.16,168.291,117.011,-117.822
