"URI","Label","Definition","Notation","Status","AcceptedDate"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_meas/TOTAL","Total","","TOTAL","valid","2010-04-20"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_meas/PASS","Passengers embarked and disembarked","","PASS","invalid","2010-04-20"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_meas/PASS_ONLY","Passenger only","","PASS_ONLY","invalid","2010-04-20"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_meas/PASS_EMB","Passengers embarked","","PASS_EMB","invalid","2010-04-20"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_meas/PASS_DISEMB","Passengers disembarked","","PASS_DISEMB","invalid","2010-04-20"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_meas/PASS_TRANSIT","Passengers in transit","","PASS_TRANSIT","invalid","2010-04-20"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_meas/PASS_BRD","Total passengers on board","","PASS_BRD","invalid","2010-04-20"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_meas/PASS_BRD_ARR","Passengers on board (arrivals)","","PASS_BRD_ARR","invalid","2010-04-20"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_meas/PASS_BRD_DEP","Passengers on board (departures)","","PASS_BRD_DEP","invalid","2010-04-20"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_meas/PASS_CRD","Total passengers carried","","PASS_CRD","invalid","2010-04-20"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_meas/PASS_CRD_ARR","Passengers carried (arrival)","","PASS_CRD_ARR","invalid","2010-04-20"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_meas/PASS_CRD_DEP","Passengers carried (departures)","","PASS_CRD_DEP","invalid","2010-04-20"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_meas/PASS_DRT_TRANS","Total direct transit passengers","","PASS_DRT_TRANS","invalid","2010-04-20"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_meas/PASS_ST","Total passengers seats available","","PASS_ST","invalid","2010-04-20"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_meas/PASS_ST_ARR","Passengers seats available (arrivals)","","PASS_ST_ARR","invalid","2010-04-20"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_meas/PASS_ST_DEP","Passengers seats available (departures)","","PASS_ST_DEP","invalid","2010-04-20"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_meas/FR_ONLY","Freight only","","FR_ONLY","invalid","2010-04-20"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_meas/FRM","Freight and mail in tonnes","","FRM","invalid","2010-04-20"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_meas/FRM_BRD","Freight and mail on board","","FRM_BRD","valid","2010-04-20"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_meas/FRM_BRD_ARR","Freight and mail on board (arrivals)","","FRM_BRD_ARR","valid","2010-04-20"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_meas/FRM_BRD_DEP","Freight and mail on board (departures)","","FRM_BRD_DEP","valid","2010-04-20"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_meas/FRM_LD_UNLD","Total freight and mail loaded/unloaded in tonnes","","FRM_LD_UNLD","invalid","2010-04-20"
"http://dd.eionet.europa.eu/vocabulary/eurostat/tra_meas/FRM_UNLD","Freight and mail unloaded in tonnes","","FRM_UNLD","invalid","2010-04-20"
