Contry Code,Latitude,Longitude,Contry_Name
AT,47.516231,14.550072,Austria
BE,50.503887,4.469936,Belgium
BG,42.733883,25.48583,Bulgaria
HR,45.1,15.2,Croatia
CY,35.126413,33.429859,Cyprus
CZ,49.817492,15.472962,Czech Republic
DK,56.26392,9.501785,Denmark
EE,58.595272,25.013607,Estonia
FI,61.92411,25.748151,Finland
FR,46.227638,2.213749,France
DE,51.165691,10.451526,Germany
GR,39.074208,21.824312,Greece
HU,47.162494,19.503304,Hungary
IE,53.41291,-8.24389,Ireland
IT,41.87194,12.56738,Italy
LV,56.879635,24.603189,Latvia
LT,55.169438,23.881275,Lithuania
LU,49.815273,6.129583,Luxembourg
MT,35.937496,14.375416,Malta
NL,52.132633,5.291266,Netherlands
PL,51.919438,19.145136,Poland
PT,39.399872,-8.224454,Portugal
RO,45.943161,24.96676,Romania
SK,48.669026,19.699024,Slovakia
SI,46.151241,14.995463,Slovenia
ES,40.463667,-3.74922,Spain
SE,60.128161,18.643501,Sweden
