ICAO,IATA,AirportName,Municipality,Country
EKYT,AAL,Aalborg Airport,Aalborg,Denmark
EGPD,ABZ,Aberdeen Dyce Airport,Aberdeen,United Kingdom
LEMD,MAD,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain
LEAL,ALC,Alicante International Airport,Alicante,Spain
EHAM,AMS,Amsterdam Airport Schiphol,Amsterdam,The Netherlands
LFOA,,Avord (BA 702) Air Base,Avord,France
LEBL,BCN,Barcelona–El Prat Airport,Barcelona,Spain
LIBD,BRI,Bari Karol Wojtyła Airport,Bari,Italy
EGAA,BFS,Belfast International Airport,Belfast,United Kingdom
LYBE,BEG,Belgrade Nikola Tesla Airport,Belgrade,Serbia
ENBR,BGO,Bergen Airport Flesland,Bergen,Norway
EDDB,SXF,Berlin-Schönefeld Airport,Berlin,Germany
EDDT,TXL,Berlin-Tegel Airport,Berlin,Germany
EKBI,BLL,Billund Airport,Billund,Denmark
EGBB,BHX,Birmingham International Airport,Birmingham,United Kingdom
ENBO,BOO,Bodø Airport,Bodø,Norway
LIPE,BLQ,Bologna Guglielmo Marconi Airport,Bologna,Italy
LFBD,BOD,Bordeaux-Mérignac Airport,Bordeaux,France
UWKG,,Borisoglebskoye Airport,Kazan,Russia
UKBB,KBP,Boryspil International Airport,Kiev,Ukraine
EGHH,BOH,Bournemouth Airport,Bournemouth,United Kingdom
EDDW,BRE,Bremen Airport,Bremen,Germany
EGGD,BRS,Bristol Airport,Bristol,United Kingdom
EBBR,BRU,Brussels Airport,Brussels,Belgium
EBCI,CRL,Brussels South Charleroi Airport,Brussels,Belgium
LHBP,BUD,Budapest Liszt Ferenc International Airport,Budapest,Hungary
LBBG,BOJ,Burgas Airport,Burgas,Bulgaria
LIEE,CAG,Cagliari Elmas Airport,Cagliari,Italy
EGFF,CWL,Cardiff International Airport,Cardiff,United Kingdom
LICC,CTA,Catania-Fontanarossa Airport,Catania,Italy
LFPG,CDG,Paris-Charles de Gaulle Airport,Paris,France
LIRA,CIA,"Rome–Ciampino International Airport ""G. B. Pastine""",Rome,Italy
EDDK,CGN,Cologne Bonn Airport,Cologne,Germany
EKCH,CPH,Copenhagen Kastrup Airport,Copenhagen,Denmark
EPWR,WRO,Copernicus Airport Wrocław,Wrocław,Poland
EICK,ORK,Cork Airport,Cork,Ireland
UUDD,DME,Domodedovo International Airport,Moscow,Russia
EDLW,DTM,Dortmund Airport,Dortmund,Germany
EDDC,DRS,Dresden Airport,Dresden,Germany
EIDW,DUB,Dublin Airport,Dublin,Ireland
EDDL,DUS,Düsseldorf Airport,Düsseldorf,Germany
EGNX,EMA,East Midlands Airport,Nottingham,United Kingdom
EGPH,EDI,Edinburgh Airport,Edinburgh,United Kingdom
EHEH,EIN,Eindhoven Airport,Eindhoven,The Netherlands
LGAV,ATH,"Athens International Airport ""Eleftherios Venizelos""",Athens,Greece
LFSB,BSL,EuroAirport Basel-Mulhouse-Freiburg Airport,Bâle/Mulhouse,France
EGTE,EXT,Exeter International Airport,Exeter,United Kingdom
LICJ,PMO,Falcone–Borsellino Airport,Palermo,Italy
LPFR,FAO,Faro Airport,Faro,Portugal
LPPR,OPO,Francisco de Sá Carneiro Airport,Porto,Portugal
EDDF,FRA,Frankfurt am Main Airport,Frankfurt am Main,Germany
EPGD,GDN,Gdańsk Lech Wałęsa Airport,Gdańsk,Poland
LSGG,GVA,Geneva Airport,Geneva,Switzerland
LIMJ,GOA,Genoa Cristoforo Colombo Airport,Genova,Italy
