Label,Country,Country_code,unit,tra_meas,rep_airp,schedule,tra_cov_per_time,2020M04,2020M03,2020M02,2020M01,2019M12,2019M11,2019M10,2019M09,2019M08,2019M07,2019M06,2019M05,2019M04,2019M03,2019M02,2019M01
Passengers carried (departures),Austria,AUT,PASSENGERS,PAS_CRD_DEP,AT_LOWW,TOT,TOTAL,N/A,N/A,N/A,N/A,1246932,1170369,1440652,1471001,1576911,1612275,1509613,1434286,1370870,1170534,926683,928619
Passengers carried (departures),Austria,AUT,PASSENGERS,PAS_CRD_DEP,AT_LOWW,TOT,NAT,N/A,N/A,N/A,N/A,20617,22844,25161,28395,21681,25198,26224,21674,21496,22890,19929,18792
Passengers carried (departures),Austria,AUT,PASSENGERS,PAS_CRD_DEP,AT_LOWW,TOT,INTL_XEU28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,476506,433490,435966,367669,304437,307428
Passengers carried (departures),Austria,AUT,PASSENGERS,PAS_CRD_DEP,AT_LOWW,TOT,INTL_XEU27_2020,N/A,N/A,N/A,N/A,508957,444001,559357,533595,613195,639652,550995,506754,510149,428305,357541,363840
Passengers carried (departures),Austria,AUT,PASSENGERS,PAS_CRD_DEP,AT_LOWW,TOT,INTL_IEU28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1006883,979122,913408,779975,602317,602399
Passengers carried (departures),Austria,AUT,PASSENGERS,PAS_CRD_DEP,AT_LOWW,TOT,INTL_IEU27_2020,N/A,N/A,N/A,N/A,717358,703524,856134,909011,942035,947425,932394,905858,839225,719339,549213,545987
Passengers carried (departures),Austria,AUT,PASSENGERS,PAS_CRD_DEP,AT_LOWW,TOT,INTL,N/A,N/A,N/A,N/A,1226315,1147525,1415491,1442606,1555230,1587077,1483389,1412612,1349374,1147644,906754,909827
Passengers carried (departures),Austria,AUT,PASSENGERS,PAS_CRD_DEP,AT_LOWW,SCHED,TOTAL,N/A,N/A,N/A,N/A,1238026,1163440,1425900,1451584,1545019,1582203,1484557,1416903,1359565,1162337,919259,920170
Passengers carried (departures),Austria,AUT,PASSENGERS,PAS_CRD_DEP,AT_LOWW,SCHED,NAT,N/A,N/A,N/A,N/A,20177,22844,25161,28386,21681,25198,26137,21674,21453,22890,19929,18722
Passengers carried (departures),Austria,AUT,PASSENGERS,PAS_CRD_DEP,AT_LOWW,SCHED,INTL_XEU28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,465546,424754,430128,360431,299617,301335
Passengers carried (departures),Austria,AUT,PASSENGERS,PAS_CRD_DEP,AT_LOWW,SCHED,INTL_XEU27_2020,N/A,N/A,N/A,N/A,503501,438129,550066,524419,596991,625985,539765,497917,504311,421067,352721,357747
