country,Country_code,unit,2020Q1,2019Q4,2019Q3,2019Q2,2019Q1,2020M03,2020M02,2020M01,2019M12,2019M11,2019M10,2019M09,2019M08,2019M07,2019M06,2019M05,2019M04,2019M03,2019M02,2019M01
Belgium,BEL,Thousand tonnes,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,Thousand tonnes,,,7081,7134,6508,,,,,,,2360,2360,2360,2378,2378,2378,2169,2169,2169
Belgium,BEL,Thousand tonnes,,,334,372,252,,,,,,,111,111,111,124,124,124,84,84,84
Belgium,BEL,Thousand tonnes,,,2588,2716,2127,,,,,,,862,862,862,905,905,905,709,709,709
Belgium,BEL,Thousand tonnes,,,4890,4941,4720,,,,,,,1630,1630,1630,1647,1647,1647,1573,1573,1573
Belgium,BEL,Thousand tonnes,,,2588,2716,2127,,,,,,,862,862,862,905,905,905,709,709,709
Belgium,BEL,Thousand tonnes,,,2588,2716,2128,,,,,,,862,862,862,905,905,905,709,709,709
Belgium,BEL,Thousand tonnes,,,2668,2771,2269,,,,,,,889,889,889,923,923,923,756,756,756
Belgium,BEL,Thousand tonnes,,,4159,4047,4129,,,,,,,1386,1386,1386,1349,1349,1349,1376,1376,1376
Belgium,BEL,Thousand tonnes,,,1857,1822,1536,,,,,,,619,619,619,607,607,607,512,512,512
Belgium,BEL,Thousand tonnes,,,4159,4047,4129,,,,,,,1386,1386,1386,1349,1349,1349,1376,1376,1376
Belgium,BEL,Thousand tonnes,,,4159,4047,4129,,,,,,,1386,1386,1386,1349,1349,1349,1376,1376,1376
Belgium,BEL,Thousand tonnes,,,4079,3992,3987,,,,,,,1359,1359,1359,1330,1330,1330,1329,1329,1329
Belgium,BEL,Thousand tonnes,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,Thousand tonnes,,,3132,3071,2974,,,,,,,1044,1044,1044,1023,1023,1023,991,991,991
Belgium,BEL,Thousand tonnes,,,14,12,4,,,,,,,4,4,4,4,4,4,1,1,1
Belgium,BEL,Thousand tonnes,,,477,448,384,,,,,,,159,159,159,149,149,149,128,128,128
Belgium,BEL,Thousand tonnes,,,2194,2080,2323,,,,,,,731,731,731,693,693,693,774,774,774
Belgium,BEL,Thousand tonnes,,,477,448,384,,,,,,,159,159,159,149,149,149,128,128,128
Belgium,BEL,Thousand tonnes,,,477,448,385,,,,,,,159,159,159,149,149,149,128,128,128
Belgium,BEL,Thousand tonnes,,,512,458,396,,,,,,,170,170,170,152,152,152,132,132,132
Belgium,BEL,Thousand tonnes,,,2641,2611,2585,,,,,,,880,880,880,870,870,870,861,861,861
Belgium,BEL,Thousand tonnes,,,925,979,647,,,,,,,308,308,308,326,326,326,215,215,215
Belgium,BEL,Thousand tonnes,,,2641,2611,2585,,,,,,,880,880,880,870,870,870,861,861,861
Belgium,BEL,Thousand tonnes,,,2641,2611,2585,,,,,,,880,880,880,870,870,870,861,861,861
Belgium,BEL,Thousand tonnes,,,2607,2601,2574,,,,,,,869,869,869,867,867,867,858,858,858
Belgium,BEL,Thousand tonnes,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,Thousand tonnes,,,3949,4064,3534,,,,,,,1316,1316,1316,1354,1354,1354,1178,1178,1178
Belgium,BEL,Thousand tonnes,,,320,360,247,,,,,,,106,106,106,120,120,120,82,82,82
Belgium,BEL,Thousand tonnes,,,2111,2268,1743,,,,,,,703,703,703,756,756,756,581,581,581
Belgium,BEL,Thousand tonnes,,,2697,2861,2398,,,,,,,899,899,899,953,953,953,799,799,799
Belgium,BEL,Thousand tonnes,,,2111,2268,1743,,,,,,,703,703,703,756,756,756,581,581,581
Belgium,BEL,Thousand tonnes,,,2111,2268,1743,,,,,,,703,703,703,756,756,756,581,581,581
Belgium,BEL,Thousand tonnes,,,2156,2313,1873,,,,,,,718,718,718,771,771,771,624,624,624
Belgium,BEL,Thousand tonnes,,,1518,1436,1544,,,,,,,506,506,506,478,478,478,514,514,514
Belgium,BEL,Thousand tonnes,,,932,843,889,,,,,,,310,310,310,281,281,281,296,296,296
Belgium,BEL,Thousand tonnes,,,1518,1436,1544,,,,,,,506,506,506,478,478,478,514,514,514
Belgium,BEL,Thousand tonnes,,,1518,1436,1544,,,,,,,506,506,506,478,478,478,514,514,514
