Country,GDP,Date,Value,Unit
Belgium,527.8,19-Jan,307.1,thousand tones
Bulgaria,55.08,19-Jan,3659.659,thousand tones
Denmark,347.2,19-Jan,336.444,thousand tones
Germany,3820.0,19-Jan,16522.459,thousand tones
Estonia,26.36,19-Jan,1931.714,thousand tones
Ireland,245.8,19-Jan,,thousand tones
Greece,246.4,19-Jan,3574.887,thousand tones
Spain,1400.0,19-Jan,1848.0,thousand tones
France,2902.0,19-Jan,983.614,thousand tones
Croatia,57.18,19-Jan,61.0,thousand tones
Italy,2129.0,19-Jan,1248.0,thousand tones
Cyprus,21.34,19-Jan,1.061,thousand tones
Latvia,32.82,19-Jan,6.892,thousand tones
Lithuania,48.72,19-Jan,31.321,thousand tones
Luxembourg,63.93,19-Jan,5.001,thousand tones
Hungary,129.7,19-Jan,795.168,thousand tones
Malta,10.57,19-Jan,,thousand tones
Netherlands,880.4,19-Jan,1395.0,thousand tones
Austria,436.1,19-Jan,370.777,thousand tones
Poland,552.2,19-Jan,12470.87,thousand tones
Portugal,228.2,19-Jan,405.705,thousand tones
Romania,199.0,19-Jan,2049.0,thousand tones
Slovenia,49.93,19-Jan,362.836,thousand tones
Slovakia,99.75,19-Jan,539.0,thousand tones
Finland,276.3,19-Jan,1232.0,thousand tones
Sweden,559.1,19-Jan,285.0,thousand tones
United Kingdom,2848.0,19-Jan,1493.739,thousand tones
Norway,511.6,19-Jan,67.172,thousand tones
Montenegro,4.66,19-Jan,146.02,thousand tones
Serbia,42.65,19-Jan,3384.557,thousand tones
Bosnia and Herzegovina,19.55,19-Jan,1253.327,thousand tones
Ukraine,134.9,19-Jan,4618.4,thousand tones
Moldova,7.74,19-Jan,15.1,thousand tones
Belgium,527.8,19-Feb,262.0,thousand tones
Bulgaria,55.08,19-Feb,2786.045,thousand tones
Denmark,347.2,19-Feb,261.22900000000004,thousand tones
Germany,3820.0,19-Feb,16125.421,thousand tones
Estonia,26.36,19-Feb,1526.832,thousand tones
Ireland,245.8,19-Feb,,thousand tones
Greece,246.4,19-Feb,2412.84,thousand tones
Spain,1400.0,19-Feb,1217.0,thousand tones
France,2902.0,19-Feb,882.2310000000001,thousand tones
Croatia,57.18,19-Feb,57.0,thousand tones
Italy,2129.0,19-Feb,947.0,thousand tones
Cyprus,21.34,19-Feb,2.229,thousand tones
Latvia,32.82,19-Feb,4.823,thousand tones
Lithuania,48.72,19-Feb,28.486,thousand tones
Luxembourg,63.93,19-Feb,15.817,thousand tones
Hungary,129.7,19-Feb,706.822,thousand tones
Malta,10.57,19-Feb,,thousand tones
Netherlands,880.4,19-Feb,1267.0,thousand tones
Austria,436.1,19-Feb,341.7530000000001,thousand tones
Poland,552.2,19-Feb,10429.252,thousand tones
Portugal,228.2,19-Feb,252.47,thousand tones
Romania,199.0,19-Feb,1865.0,thousand tones
Slovenia,49.93,19-Feb,295.858,thousand tones
Slovakia,99.75,19-Feb,479.0,thousand tones
Finland,276.3,19-Feb,981.0,thousand tones
Sweden,559.1,19-Feb,272.0,thousand tones
United Kingdom,2848.0,19-Feb,707.068,thousand tones
Norway,511.6,19-Feb,67.172,thousand tones
Montenegro,4.66,19-Feb,146.04,thousand tones
Serbia,42.65,19-Feb,3301.575,thousand tones
Bosnia and Herzegovina,19.55,19-Feb,1224.871,thousand tones
Ukraine,134.9,19-Feb,3596.2,thousand tones
Moldova,7.74,19-Feb,2.78,thousand tones
Belgium,527.8,19-Mar,308.5,thousand tones
Bulgaria,55.08,19-Mar,2151.791,thousand tones
Denmark,347.2,19-Mar,214.463,thousand tones
Germany,3820.0,19-Mar,14784.518999999998,thousand tones
Estonia,26.36,19-Mar,1499.15,thousand tones
Ireland,245.8,19-Mar,,thousand tones
Greece,246.4,19-Mar,2465.2870000000007,thousand tones
Spain,1400.0,19-Mar,610.0,thousand tones
France,2902.0,19-Mar,856.732,thousand tones
Croatia,57.18,19-Mar,57.0,thousand tones
Italy,2129.0,19-Mar,870.0,thousand tones
Cyprus,21.34,19-Mar,1.7280000000000002,thousand tones
Latvia,32.82,19-Mar,4.9030000000000005,thousand tones
Lithuania,48.72,19-Mar,24.881,thousand tones
Luxembourg,63.93,19-Mar,5.7879999999999985,thousand tones
Hungary,129.7,19-Mar,811.482,thousand tones
Malta,10.57,19-Mar,,thousand tones
Netherlands,880.4,19-Mar,964.0,thousand tones
Austria,436.1,19-Mar,321.4770000000001,thousand tones
Poland,552.2,19-Mar,10090.5,thousand tones
Portugal,228.2,19-Mar,241.996,thousand tones
Romania,199.0,19-Mar,2025.0,thousand tones
Slovenia,49.93,19-Mar,241.379,thousand tones
Slovakia,99.75,19-Mar,523.0,thousand tones
Finland,276.3,19-Mar,920.0,thousand tones
Sweden,559.1,19-Mar,286.0,thousand tones
United Kingdom,2848.0,19-Mar,614.788,thousand tones
Norway,511.6,19-Mar,67.172,thousand tones
Montenegro,4.66,19-Mar,129.19,thousand tones
Serbia,42.65,19-Mar,3646.015,thousand tones
Bosnia and Herzegovina,19.55,19-Mar,1316.3970000000004,thousand tones
Ukraine,134.9,19-Mar,4007.6,thousand tones
Moldova,7.74,19-Mar,3.07,thousand tones
Belgium,527.8,19-Apr,289.8,thousand tones
Bulgaria,55.08,19-Apr,1893.062,thousand tones
Denmark,347.2,19-Apr,152.496,thousand tones
Germany,3820.0,19-Apr,14476.672,thousand tones
Estonia,26.36,19-Apr,1978.097,thousand tones
Ireland,245.8,19-Apr,,thousand tones
Greece,246.4,19-Apr,2302.042,thousand tones
Spain,1400.0,19-Apr,552.0,thousand tones
France,2902.0,19-Apr,842.175,thousand tones
Croatia,57.18,19-Apr,54.0,thousand tones
Italy,2129.0,19-Apr,880.0,thousand tones
Cyprus,21.34,19-Apr,0.0,thousand tones
Latvia,32.82,19-Apr,6.09,thousand tones
Lithuania,48.72,19-Apr,19.082,thousand tones
Luxembourg,63.93,19-Apr,5.461,thousand tones
Hungary,129.7,19-Apr,586.134,thousand tones
Malta,10.57,19-Apr,,thousand tones
Netherlands,880.4,19-Apr,854.0,thousand tones
Austria,436.1,19-Apr,383.414,thousand tones
Poland,552.2,19-Apr,9301.062,thousand tones
Portugal,228.2,19-Apr,220.784,thousand tones
Romania,199.0,19-Apr,1984.0,thousand tones
Slovenia,49.93,19-Apr,205.762,thousand tones
Slovakia,99.75,19-Apr,488.0,thousand tones
Finland,276.3,19-Apr,659.0,thousand tones
Sweden,559.1,19-Apr,188.0,thousand tones
United Kingdom,2848.0,19-Apr,582.852,thousand tones
Norway,511.6,19-Apr,67.172,thousand tones
Montenegro,4.66,19-Apr,29.42,thousand tones
Serbia,42.65,19-Apr,3324.678,thousand tones
Bosnia and Herzegovina,19.55,19-Apr,945.039,thousand tones
Ukraine,134.9,19-Apr,3817.0,thousand tones
Moldova,7.74,19-Apr,16.85,thousand tones
Belgium,527.8,19-May,307.1,thousand tones
Bulgaria,55.08,19-May,2383.2670000000007,thousand tones
Denmark,347.2,19-May,82.9,thousand tones
Germany,3820.0,19-May,13781.01,thousand tones
Estonia,26.36,19-May,1016.396,thousand tones
Ireland,245.8,19-May,,thousand tones
Greece,246.4,19-May,1808.859,thousand tones
Spain,1400.0,19-May,442.0,thousand tones
France,2902.0,19-May,779.455,thousand tones
Croatia,57.18,19-May,59.0,thousand tones
Italy,2129.0,19-May,742.0,thousand tones
Cyprus,21.34,19-May,2.339,thousand tones
Latvia,32.82,19-May,7.127999999999999,thousand tones
Lithuania,48.72,19-May,27.276,thousand tones
Luxembourg,63.93,19-May,5.742000000000001,thousand tones
Hungary,129.7,19-May,467.543,thousand tones
Malta,10.57,19-May,,thousand tones
Netherlands,880.4,19-May,783.0,thousand tones
Austria,436.1,19-May,322.113,thousand tones
Poland,552.2,19-May,9719.84,thousand tones
Portugal,228.2,19-May,144.982,thousand tones
Romania,199.0,19-May,1779.0,thousand tones
Slovenia,49.93,19-May,237.926,thousand tones
Slovakia,99.75,19-May,469.0,thousand tones
Finland,276.3,19-May,546.0,thousand tones
Sweden,559.1,19-May,193.0,thousand tones
United Kingdom,2848.0,19-May,442.155,thousand tones
Norway,511.6,19-May,67.172,thousand tones
Montenegro,4.66,19-May,44.43,thousand tones
Serbia,42.65,19-May,2542.615,thousand tones
Bosnia and Herzegovina,19.55,19-May,1083.484,thousand tones
Ukraine,134.9,19-May,3675.9,thousand tones
Moldova,7.74,19-May,1.73,thousand tones
Belgium,527.8,19-Jun,284.8,thousand tones
Bulgaria,55.08,19-Jun,1490.606,thousand tones
Denmark,347.2,19-Jun,29.656,thousand tones
Germany,3820.0,19-Jun,11630.969,thousand tones
Estonia,26.36,19-Jun,776.92,thousand tones
Ireland,245.8,19-Jun,19.306,thousand tones
Greece,246.4,19-Jun,2131.196,thousand tones
Spain,1400.0,19-Jun,409.0,thousand tones
France,2902.0,19-Jun,762.123,thousand tones
Croatia,57.18,19-Jun,57.0,thousand tones
Italy,2129.0,19-Jun,764.0,thousand tones
