Country,Date,COCL,COEM,COLS,COPD,COSC,LWI,TO3,Var_COCL,Var_COEM,Var_COLS,Var_COPD,Var_COSC,Var_LWI,Var_TO3
Austria,201901,0.00052217644,5.2215263e-11,2.130699e-11,5.2717713e-12,107.294075,0.9999939,332.40884,5.4041827e-10,6.9557666e-28,4.0904974e-24,2.1660355e-25,527.91626,-3.722289e-11,1222.4336
Bulgaria,201901,0.0006045318,8.269609e-11,3.923956e-11,1.1001666e-11,113.75886,0.9999939,341.49298,7.5443485e-10,6.65716e-23,7.133116e-24,1.269314e-24,334.50278,-3.722289e-11,978.8043
Cyprus,201901,0.00059760467,1.4871522e-10,5.958477e-11,1.9645681e-11,94.4257,0.9167252,305.65863,4.373992e-10,2.4329632e-26,9.375241e-24,1.207587e-24,47.345406,8.456168e-09,785.3675
Czech Republic,201901,0.0006154364,1.7012135e-10,2.177097e-11,5.48942e-12,131.08618,0.9999939,340.81232,8.0829826e-10,5.0434563e-28,6.953719e-24,2.5713298e-25,596.02234,-3.722289e-11,1151.0533
Estonia,201901,0.0006380527,1.6174933e-11,9.3608645e-12,2.2614347e-12,106.662506,0.9999939,374.64996,1.5200797e-09,2.6961476e-28,3.8502727e-24,1.2840298e-25,271.30743,-3.722289e-11,2523.6577
France,201901,0.00056703395,2.855465e-11,3.511119e-11,1.0216282e-11,95.81483,0.9999939,315.19217,6.465581e-10,9.4196525e-26,5.8265763e-24,3.9676087e-25,180.34047,-3.722289e-11,1611.2158
Germany,201901,0.0006090712,1.00464324e-10,2.220764e-11,5.749967e-12,121.656456,0.9999939,336.80597,8.810675e-10,8.708368e-28,8.24095e-24,3.005337e-25,665.05975,-3.722289e-11,1714.8175
Greece,201901,0.00055132376,4.138155e-11,4.378858e-11,1.28057035e-11,96.02888,0.9999939,334.66504,7.3790435e-10,4.779986e-25,9.594584e-24,1.2982887e-24,148.54712,-3.722289e-11,1234.2467
Hungary,201901,0.0006545789,2.1642674e-10,2.853232e-11,7.301519e-12,141.49945,0.9999939,342.7284,1.1828429e-09,2.6629448e-27,8.114126e-24,3.581297e-25,825.91736,-3.722289e-11,907.59033
Latvia,201901,0.00064038223,1.1901728e-10,1.067056e-11,2.5878201e-12,114.9396,0.81152093,367.70514,1.2600979e-09,5.6486707e-28,3.8589206e-24,1.3833682e-25,338.05054,0.03649116,1983.8116
Lithuania,201901,0.0006396529,1.1830766e-10,1.3692339e-11,3.3349788e-12,120.63592,0.9999939,359.45782,1.1394082e-09,2.1249762e-27,4.5135813e-24,1.6299854e-25,523.3459,-3.722289e-11,1404.956
Luxembourg,201901,0.0006026182,2.3358573e-10,2.6141353e-11,7.0457308e-12,136.39137,0.9999939,328.4721,7.652708e-10,2.1619254e-23,8.233839e-24,2.9506975e-25,1257.4581,-3.722289e-11,1616.4618
Malta,201901,0.00062568794,1.7656987e-11,6.091111e-11,1.999252e-11,88.45673,0.0,325.09708,8.471649e-10,0.0,1.1520946e-23,9.904985e-25,54.01576,0.0,1542.0587
Netherlands,201901,0.00064984546,6.1583794e-10,2.2993706e-11,6.2776117e-12,167.84668,0.9999939,330.26318,1.5160646e-09,2.2917465e-26,9.982196e-24,3.2764512e-25,6147.388,-3.722289e-11,1545.0626
Poland,201901,0.0006379761,1.8155788e-10,1.8556271e-11,4.6525605e-12,137.38911,0.9999939,346.52863,1.1596507e-09,0.0,6.075912e-24,1.738816e-25,1572.8195,-3.722289e-11,1006.4285
Portugal,201901,0.00058970484,3.99797e-11,5.466886e-11,2.0610902e-11,90.01556,0.9999939,290.33868,6.747239e-10,5.6970747e-22,1.5913409e-23,1.593783e-24,100.20128,-3.722289e-11,182.53363
Romania,201901,0.0005947813,5.1722602e-11,2.632596e-11,6.7436547e-12,119.4007,0.9999939,341.00604,7.5537954e-10,2.4190986e-27,3.4791795e-24,5.0988133e-25,242.13509,-3.722289e-11,835.90533
Slovakia,201901,0.0006081663,3.899871e-11,2.3666335e-11,6.01505e-12,122.1179,0.9999939,342.53674,7.0624434e-10,9.666625e-28,4.5809287e-24,2.2948102e-25,744.3249,-3.722289e-11,848.39136
Slovenia,201901,0.00060788536,1.679723e-10,3.1083684e-11,8.005234e-12,129.05624,0.9999939,334.42578,9.0202934e-10,0.0,1.04364404e-23,4.221359e-25,554.7524,-3.722289e-11,1212.7684
Spain,201901,0.0005533143,1.2568336e-09,4.879376e-11,1.6539032e-11,143.47897,0.9999939,292.753,5.5560484e-10,2.1906083e-25,1.3637193e-23,1.13514e-24,2403.967,-3.722289e-11,266.00797
Sweden,201901,0.0006342875,2.0584423e-11,7.955578e-12,1.981192e-12,111.03694,0.78684926,370.3193,1.4768224e-09,0.0,4.8126073e-24,1.3107466e-25,787.93866,0.0005483832,2592.0583
Ireland,201901,0.0006082353,1.6966385e-11,1.8203869e-11,5.306613e-12,84.82069,0.9999939,315.5038,6.232886e-10,7.821728e-26,9.1818416e-24,4.6841427e-25,45.94617,-3.722289e-11,1471.9684
Italy,201901,0.0006212496,5.8481825e-10,5.0410055e-11,1.4901991e-11,125.1788,0.9999939,329.16254,6.8403677e-10,7.1391936e-24,1.961009e-23,1.6605536e-24,363.713,-3.722289e-11,1540.1017
Denmark,201901,0.00062975194,1.0511265e-10,1.38156145e-11,3.669879e-12,105.7877,0.9999939,345.5067,1.2060741e-09,1.7652096e-28,7.74494e-24,2.196666e-25,771.1376,-3.722289e-11,2048.1106
Finland,201901,0.00062612153,4.4745856e-11,5.7766947e-12,1.366847e-12,112.40272,0.9999939,392.01538,1.0259168e-09,1.9689569e-25,2.4882365e-24,7.6350784e-26,667.5431,-3.722289e-11,3160.4734
Belgium,201901,0.000635819,7.168065e-10,2.8695114e-11,7.921012e-12,168.42384,0.9999939,326.73376,1.0660616e-09,3.6151495e-26,9.7577834e-24,3.4364874e-25,2714.0752,-3.722289e-11,1596.8489
Croatia,201901,0.0006042942,3.5723396e-11,3.500352e-11,9.275619e-12,113.55788,0.99441576,333.59778,7.0290473e-10,5.706756e-22,1.0158474e-23,5.982548e-25,290.23398,1.255986e-08,1294.662
Austria,201902,0.00053157704,5.2480686e-11,3.4027225e-11,9.8518e-12,98.546036,0.99999505,322.5209,6.844735e-10,3.8052847e-26,5.5219695e-23,6.966558e-24,346.5214,-2.4396596e-11,1774.4662
Bulgaria,201902,0.0006123481,1.463353e-10,5.555243e-11,1.6488672e-11,114.00639,0.99999505,343.45532,1.6937206e-09,2.5685396e-20,1.1101295e-22,5.3495084e-24,410.74234,-2.4396596e-11,3134.02
Cyprus,201902,0.00060390163,1.4978647e-10,7.042722e-11,2.3977532e-11,96.15004,0.9167249,321.35672,1.1788851e-09,2.9471276e-25,2.66036e-23,2.5799516e-24,55.662647,8.223374e-09,1417.0311
Czech Republic,201902,0.0006285433,1.7547166e-10,3.6514992e-11,1.07846145e-11,144.8766,0.99999505,327.9902,1.0096988e-09,2.595169e-22,6.965942e-23,9.106173e-24,917.1898,-2.4396596e-11,1814.3982
Estonia,201902,0.0006529261,1.6158503e-11,1.875126e-11,5.0530196e-12,114.49732,0.99999505,359.8883,1.2711254e-09,3.0520867e-27,1.5773408e-23,1.9669884e-24,598.4262,-2.4396596e-11,1935.0709
France,201902,0.0005794715,3.269552e-11,4.9009113e-11,1.6271057e-11,94.93699,0.99999505,310.0737,8.7871255e-10,6.819657e-23,6.535247e-23,1.5846654e-23,135.31342,-2.4396596e-11,1520.1089
Germany,201902,0.0006222572,1.010544e-10,3.838487e-11,1.1746731e-11,134.89497,0.99999505,326.11945,1.0618316e-09,3.5009092e-25,6.995102e-23,1.19905674e-23,1048.5068,-2.4396596e-11,2074.0547
Greece,201902,0.00056480506,4.5792977e-11,6.1778305e-11,1.8786361e-11,99.08035,0.99999505,344.7729,1.2487145e-09,5.0510673e-24,9.091241e-23,5.1332635e-24,93.04102,-2.4396596e-11,2829.7107
Hungary,201902,0.00065903645,2.9838998e-10,4.222897e-11,1.2396013e-11,142.5747,0.99999505,334.97394,1.208338e-09,5.6536845e-20,7.7972015e-23,7.746075e-24,1019.16656,-2.4396596e-11,1902.2565
Latvia,201902,0.00065287907,1.1898951e-10,2.0465395e-11,5.5947634e-12,121.285034,0.7527889,355.113,9.99012e-10,4.5829922e-27,2.0174868e-23,2.352707e-24,546.21466,0.0116321435,2059.6208
Lithuania,201902,0.0006516705,1.1883726e-10,2.4342198e-11,6.755393e-12,125.80485,0.99999505,351.59726,8.452619e-10,1.0171815e-23,3.0875748e-23,3.2513518e-24,676.2417,-2.4396596e-11,2181.7532
