Country,GDP,Date,Value,Unit
Belgium,527.8,Jan-19,3118.0,thousand tones
Bulgaria,55.08,Jan-19,577.0,thousand tones
Denmark,347.2,Jan-19,683.0,thousand tones
Germany,3820.0,Jan-19,7535.170999999999,thousand tones
Estonia,26.36,Jan-19,0.0,thousand tones
Ireland,245.8,Jan-19,244.0,thousand tones
Greece,246.4,Jan-19,2016.0,thousand tones
Spain,1400.0,Jan-19,5898.0,thousand tones
France,2902.0,Jan-19,4784.0,thousand tones
Croatia,57.18,Jan-19,13.0,thousand tones
Italy,2129.0,Jan-19,5395.0,thousand tones
Cyprus,21.34,Jan-19,0.0,thousand tones
Latvia,32.82,Jan-19,0.0,thousand tones
Lithuania,48.72,Jan-19,871.0,thousand tones
Luxembourg,63.93,Jan-19,0.0,thousand tones
Hungary,129.7,Jan-19,625.0,thousand tones
Malta,10.57,Jan-19,0.0,thousand tones
Netherlands,880.4,Jan-19,5032.0,thousand tones
Austria,436.1,Jan-19,803.0,thousand tones
Poland,552.2,Jan-19,2267.0,thousand tones
Portugal,228.2,Jan-19,940.0,thousand tones
Romania,199.0,Jan-19,1041.0,thousand tones
Slovenia,49.93,Jan-19,0.0,thousand tones
Slovakia,99.75,Jan-19,530.0,thousand tones
Finland,276.3,Jan-19,1026.0,thousand tones
Sweden,559.1,Jan-19,1535.0,thousand tones
United Kingdom,2848.0,Jan-19,4654.0,thousand tones
Norway,511.6,Jan-19,1241.0,thousand tones
Montenegro,4.66,Jan-19,,thousand tones
Albania,13.4,Jan-19,21.0,thousand tones
Turkey,813.3,Jan-19,2189.0,thousand tones
Belgium,527.8,Feb-19,2828.0,thousand tones
Bulgaria,55.08,Feb-19,527.0,thousand tones
Denmark,347.2,Feb-19,622.0,thousand tones
Germany,3820.0,Feb-19,6502.018,thousand tones
Estonia,26.36,Feb-19,0.0,thousand tones
Ireland,245.8,Feb-19,203.0,thousand tones
Greece,246.4,Feb-19,1806.0,thousand tones
Spain,1400.0,Feb-19,4961.0,thousand tones
France,2902.0,Feb-19,4387.0,thousand tones
Croatia,57.18,Feb-19,60.0,thousand tones
Italy,2129.0,Feb-19,4567.0,thousand tones
Cyprus,21.34,Feb-19,0.0,thousand tones
Latvia,32.82,Feb-19,0.0,thousand tones
Lithuania,48.72,Feb-19,605.0,thousand tones
Luxembourg,63.93,Feb-19,0.0,thousand tones
Hungary,129.7,Feb-19,536.0,thousand tones
Malta,10.57,Feb-19,0.0,thousand tones
Netherlands,880.4,Feb-19,4259.0,thousand tones
Austria,436.1,Feb-19,711.0,thousand tones
Poland,552.2,Feb-19,2154.0,thousand tones
Portugal,228.2,Feb-19,780.0,thousand tones
Romania,199.0,Feb-19,940.0,thousand tones
Slovenia,49.93,Feb-19,0.0,thousand tones
