country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Labour force participation (female/male pop. %),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)","Life expectancy at birth (females/males, years)","Population age distribution (0-14 / 60+ years, %)",International migrant stock (000/% of total pop.),Refugees and others of concern to UNHCR (in thousands),Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Education: Primary gross enrol. ratio (f/m per 100 pop.),Education: Secondary gross enrol. ratio (f/m per 100 pop.),Education: Tertiary gross enrol. ratio (f/m per 100 pop.),Seats held by women in national parliaments %,Mobile-cellular subscriptions (per 100 inhabitants),Mobile-cellular subscriptions (per 100 inhabitants).1,Individuals using the Internet (per 100 inhabitants),Threatened species (number),Forested area (% of land area),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)",Energy supply per capita (Gigajoules),"Pop. using improved drinking water (urban/rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Net Official Development Assist. received (% of GNI),Labour force participation - female,Labour force participation - male,Population age distribution 60+,Population age distribution 0-14,Life expectancy at birth - females,Life expectancy at birth - males,Forested area,Forested area percent of land area),Confirmed,Recovered,Deaths,Maximum Actives,Current percent from Max Active,confirmed_percent_population,recovered_percent_population,deaths_percent_population,max_active_percent_population
Austria,WesternEurope,83871,8736,106.0,96.2,376967,1.0,44117.7,1.3,28.3,70.4,4.7,25.6,69.7,6.2,54.6/65.8,108,108,145503.0,149299.0,-3795.0,7020.0,0.6,66.0,0.4,1.4,83.5/78.4,14.1/25.1,1492.4/17.5,166.4,3.3,11.2,5.2,5.5,102.2/103.7,97.6/102.4,89.2/74.3,30.6,157.4,83.9,118,46.9,58.7/6.9,505,158,100.0/100.0,100.0/100.0,-99,-99,54.6,65.8,14.1,25.1,83.5,78.4,58.7,6.9,16685.0,15520.0,668.0,9334.0,0.0532461967002357,1.9099130036630036,1.7765567765567765,0.07646520146520147,1.068452380952381
Belgium,WesternEurope,30528,11429,377.5,97.3,455107,1.5,40277.8,0.7,22.2,77.1,1.2,21.2,77.6,8.3,48.1/58.9,108,107,398033.0,372713.0,25321.0,1936.0,0.6,97.9,0.5,1.8,83.0/78.0,17.1/24.6,1387.9/12.3,63.8,3.5,10.6,3.0,6.6,104.2/104.2,177.7/156.4,85.4/65.0,38.0,115.7,85.1,37,22.6,93.4/8.3,520,196,100.0/100.0,99.5/99.4,-99,-99,48.1,58.9,17.1,24.6,83.0,78.0,93.4,8.3,58186.0,15769.0,9453.0,32964.0,1.0,5.091084084346837,1.3797357599090034,0.8271064835068684,2.884241840930965
Bulgaria,EasternEurope,111002,7085,65.3,94.6,48953,3.0,6846.8,5.1,27.6,67.2,6.5,29.4,64.1,8.1,48.5/60.1,117,119,26088.0,28875.0,-2787.0,196.0,-0.6,73.9,-0.3,1.5,77.8/70.8,14.2/27.7,102.1/1.4,33.7,8.3,8.4,4.0,4.1,96.7/97.7,97.4/100.5,82.9/65.4,19.2,129.3,56.7,104,35.1,42.4/5.9,474,103,99.6/99.0,86.8/83.7,-99,-99,48.5,60.1,14.2,27.7,77.8,70.8,42.4,5.9,2499.0,1064.0,139.0,1513.0,0.8565763384005287,0.35271700776287934,0.15017642907551165,0.01961891319689485,0.2135497529992943
Croatia,SouthernEurope,56594,4189,74.9,93.1,48676,1.6,11479.4,4.1,26.6,69.3,9.2,26.8,64.0,11.7,46.3/58.4,91,91,13648.0,21830.0,-8182.0,2492.0,-0.4,59.0,0.1,1.5,80.4/73.6,14.7/26.8,576.9/13.6,15.5,3.9,7.8,3.1,4.6,98.1/97.8,100.6/95.9,79.8/58.8,19.9,103.8,69.8,176,34.3,16.8/4.0,182,79,99.6/99.7,97.8/95.8,0,-99,46.3,58.4,14.7,26.8,80.4,73.6,16.8,4.0,2246.0,2063.0,103.0,1258.0,0.06359300476947535,0.536166149439007,0.4924803055621867,0.02458820720935784,0.3003103365958463
Cyprus,WesternAsia,9251,1180,127.7,100.2,19561,1.7,21941.9,2.3,10.6,87.2,4.1,16.7,79.2,10.3,57.8/70.4,80,80,1920.0,6604.0,-4684.0,-576.0,0.9,66.9,0.9,1.4,82.2/77.7,16.8/18.5,196.2/16.8,16.2,4.2,7.4,2.5,6.1,99.3/99.3,99.4/100.1,69.4/51.1,17.9,95.4,71.7,72,18.7,6.1/5.2,5,72,100.0/100.0,100.0/100.0,-99,-99,57.8,70.4,16.8,18.5,82.2,77.7,6.1,5.2,944.0,790.0,17.0,692.0,0.19797687861271676,0.8,0.6694915254237288,0.01440677966101695,0.5864406779661017
Denmark,NorthernEurope,42921,5734,135.1,99.0,301308,1.6,53149.3,1.2,22.9,75.8,2.4,19.2,78.4,6.0,58.1/66.0,105,105,94355.0,85133.0,9222.0,27582.0,0.5,87.7,0.6,1.7,82.2/78.1,16.5/25.3,572.5/10.1,48.2,3.5,10.8,3.6,8.6,100.7/102.3,133.4/128.3,96.3/69.7,37.4,128.3,96.3,47,14.4,33.5/5.9,666,119,100.0/100.0,99.6/99.6,-99,-99,58.1,66.0,16.5,25.3,82.2,78.1,33.5,5.9,11833.0,10525.0,571.0,3838.0,0.19202709744658678,2.0636553889082663,1.8355423787931635,0.09958144401813743,0.6693407743285664
Estonia,NorthernEurope,45227,1310,30.9,88.2,22460,1.4,17112.0,3.4,27.4,69.2,3.8,29.0,67.3,7.2,55.4/69.4,136,136,13952.0,15759.0,-1807.0,493.0,-0.3,67.5,-0.4,1.6,81.2/71.8,16.4/25.9,202.3/15.4,84.2,3.2,6.4,3.3,5.5,98.5/98.3,114.7/115.6,84.8/55.4,26.7,148.7,88.4,23,52.7,19.5/14.8,242,193,100.0/99.0,97.5/96.6,-99,-99,55.4,69.4,16.4,25.9,81.2,71.8,19.5,14.8,1865.0,1622.0,67.0,1395.0,0.12616487455197134,1.4236641221374047,1.2381679389312976,0.05114503816793893,1.0648854961832062
Finland,NorthernEurope,338440,5523,18.2,97.2,231960,0.2,42148.1,2.5,26.8,70.6,4.2,22.0,73.8,8.9,54.5/61.7,101,101,57326.0,60502.0,-3176.0,-979.0,0.4,84.2,0.5,1.8,83.7/77.7,16.4/27.8,315.9/5.7,32.6,2.3,9.7,3.0,7.2,101.4/101.7,156.3/142.8,95.6/79.3,42.0,135.5,92.7,36,73.1,47.3/8.6,757,257,100.0/100.0,99.4/88.0,-99,-99,54.5,61.7,16.4,27.8,83.7,77.7,47.3,8.6,6826.0,5500.0,316.0,2865.0,0.3525305410122164,1.2359225058844832,0.9958355965960529,0.05721528154988231,0.518739815317762
France,WesternEurope,551500,64980,118.7,96.7,2418946,1.3,36304.2,1.7,19.5,78.8,2.7,20.5,76.8,9.8,50.3/59.4,103,103,488885.0,560555.0,-71670.0,-4861.0,0.4,79.5,0.8,2.0,85.0/78.8,18.1/25.7,7784.4/12.1,356.2,3.4,11.5,3.2,5.5,105.0/105.7,111.2/110.1,71.0/57.9,25.8,102.6,84.7,278,30.8,303.3/4.7,5694,158,100.0/100.0,98.6/98.9,-99,-99,50.3,59.4,18.1,25.7,85.0,78.8,303.3,4.7,188752.0,68386.0,28774.0,98649.0,0.928463542458616,2.904770698676516,1.0524161280393967,0.4428131732840874,1.5181440443213297
Germany,WesternEurope,357376,82114,235.6,97.0,3363600,1.7,41686.2,0.6,30.5,68.9,1.4,27.5,71.2,4.2,54.5/66.1,111,111,1340752.0,1060672.0,280080.0,279969.0,0.2,75.3,0.2,1.4,82.9/77.9,13.1/28.0,12005.7/14.9,1052.1,3.4,11.3,4.1,5.0,104.7/105.2,99.6/105.6,66.8/69.7,37.0,116.7,87.6,116,32.7,719.9/8.9,5004,158,100.0/100.0,99.3/99.0,-99,-99,54.5,66.1,13.1,28.0,82.9,77.9,719.9,8.9,183189.0,164908.0,8530.0,72864.0,0.13382465963987702,2.230910685145042,2.0082811700806196,0.10387997174659619,0.887351730520983
